RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_MODIFICA_LA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_modifica_la NP00000 1
escenario escenario NCMS000 1
de de SP 0.999961
previsibilidad previsibilidad NCFS000 1
ante ante SP 0.999744
una uno DI0FS0 0.951973
situación situación NCFS000 1
de de SP 0.999961
potencial potencial AQ0CS00 0.254098
incertidumbre incertidumbre NCFS000 1
por por SP 1
un uno DI0MS0 0.99698
nuevo nuevo AQ0MS00 1
sistema sistema NCMS000 1
normativo normativo AQ0MS00 1
; ; Fx 1
y y CC 0.999989
d d NCFS000 1
) ) Fpt 1
porque porque CS 1
su su DP3CSN 1
interpretación interpretación NCFS000 1
y y CC 0.999989
aplicación aplicación NCFS000 1
toma tomar VMIP3S0 0.442623
en en SP 1
consideración consideración NCFS000 1
la el DA0FS0 0.98926
necesaria necesario AQ0FS00 1
compensación compensación NCFS000 1
o o CC 0.999864
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
que que PR0CN00 0.550139
tiene tener VMIP3S0 1
que que CS 0.449861
existir existir VMN0000 1
en_torno_a en_torno_a SP 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
fueron ser VSIS3P0 0.933213
cobradas cobrar VMP00PF 1
antes_de antes_de SP 1
celebrado celebrar VMP00SM 1
el el DA0MS0 1
convenio convenio NCMS000 1
o o CC 0.999864
previo previo AQ0MS00 0.983871
a a SP 0.998775
que que CS 0.449861
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
fije fijar VMSP3S0 0.634859
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
no no RN 0.999297
convenidas convenir VMP00PF 1
. . Fp 1

81 81 Z 1
. . Fp 1

Pero pero CC 0.999902
sobre sobre SP 0.997804
todo todo PI0MS00 0.327644
, , Fc 1
en en SP 1
esa ese DD0FS0 0.964505
ejecutoria ejecutoria NCFS000 0.338898
se se P00CN00 0.494509
especificó especificar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
, , Fc 1
en en SP 1
su su DP3CSN 1
segundo 2 AO0MS00 0.901147
párrafo párrafo NCMS000 1
, , Fc 1
implica implicar VMIP3S0 0.993421
que que CS 0.449861
hasta hasta SP 0.922749
en en SP 1
tanto tanto RG 0.806143
no no RN 0.999297
se se P00CN00 0.494509
celebre celebrar VMSP3S0 0.634863
un uno DI0MS0 0.99698
convenio convenio NCMS000 1
entre entre SP 0.980341
concesionarios concesionario NCMP000 0.62798
o o CC 0.999864
el el DA0MS0 1
órgano órgano NCMS000 1
regulador regulador AQ0MS00 0.97619
no no RN 0.999297
fije fijar VMSP3S0 0.634859
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
para para SP 0.999834
dos_mil_quince 2015 Z 1
, , Fc 1
se se P00CN00 0.494509
continuarán continuar VMIF3P0 1
aplicando aplicar VMG0000 1
las el DA0FP0 0.988184
relativas relativo AQ0FP00 1
a a SP 0.998775
dos_mil_catorce 2014 Z 1
; ; Fx 1
pero pero CC 0.999902
una uno DI0FS0 0.951973
vez vez NCFS000 1
celebrado celebrar VMP00SM 1
el el DA0MS0 1
convenio convenio NCMS000 1
o o CC 0.999864
emitida emitir VMP00SF 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
, , Fc 1
se se P00CN00 0.494509
deberá deber VMIF3S0 1
realizar realizar VMN0000 1
cuando cuando CS 0.86298
así así RG 0.999409
corresponda corresponder VMSP3S0 0.634863
el el DA0MS0 1
“ “ Fra 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
” ” Frc 1
para para SP 0.999834
los el DA0MP0 0.992728
montos monto NCMP000 1
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cobrados cobrar VMP00PM 1
, , Fc 1
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
durante durante SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
dos_mil_quince 2015 Z 1
, , Fc 1
se se P00CN00 0.494509
cobren cobrar VMSP3P0 0.941964
efectivamente efectivamente RG 1
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
. . Fp 1

82 82 Z 1
. . Fp 1

De de SP 0.999961
igual igual AQ0CS00 0.592493
forma forma NCFS000 0.987798
, , Fc 1
se se P00CN00 0.494509
subrayó subrayar VMIS3S0 1
que que CS 0.449861
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
relativa relativo AQ0FS00 1
a a SP 1
el el DA0MS0 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
es ser VSIP3S0 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
resulta resultar VMIP3S0 0.993808
más más RG 0.99993
armónica armónico AQ0FS00 0.593609
no_sólo no_sólo CC 1
con con SP 1
la el DA0FS0 0.98926
libertad libertad NCFS000 0.998188
de de SP 0.999961
negociación negociación NCFS000 1
que que PR0CN00 0.550139
rige regir VMIP3S0 0.97619
entre entre SP 0.980341
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
sino sino CC 0.999154
también también RG 1
con con SP 1
el el DA0MS0 1
principio principio NCMS000 0.997238
de de SP 0.999961
libertad libertad NCFS000 0.998188
tarifaria tarifario AQ0FS00 1
, , Fc 1
pues pues CS 0.999049
permite permitir VMIP3S0 0.997312
que que CS 0.449861
las el DA0FP0 0.988184
nuevas nuevo AQ0FP00 0.998891
condiciones condición NCFP000 0.998418
tengan tener VMSP3P0 0.78169
efectos efecto NCMP000 1
o o CC 0.999864
generen generar VMSP3P0 0.941964
consecuencias consecuencia NCFP000 1
desde desde SP 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero_de_dos_mil_quince [??:??/1/2015:??.??:??] W 1
, , Fc 1
es ser VSIP3S0 1
to t_o NCFS000 1
, , Fc 1
por por SP 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
periodo periodo NCMS000 1
sobre sobre SP 0.997804
el el DA0MS0 1
que que PR0CN00 0.550139
versó versar VMIS3S0 1
la el DA0FS0 0.98926
negociación negociación NCFS000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
” ” Frc 1
En en SP 1
ese ese DD0MS0 0.966694
orden orden NCCS000 1
de de SP 0.999961
ideas idea NCFP000 0.991031
, , Fc 1
este este DD0MS0 0.949201
tribunal tribunal NCMS000 1
estima estimar VMIP3S0 0.272002
suficiente suficiente AQ0CS00 0.993994
lo el DA00S0 0.665165
aducido aducir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
quejosa quejoso AQ0FS00 1
en en SP 1
su su DP3CSN 1
demanda demanda NCFS000 0.967828
de de SP 0.999961
amparo amparo NCMS000 0.986111
para para SP 0.999834
que que CS 0.449861
la el DA0FS0 0.98926
juez juez NCCS000 1
abordara abordar VMSI3S0 0.649999
, , Fc 1
como como CS 0.967153
lo lo PP3MSA0 0.334764
hizo hacer VMIS3S0 1
, , Fc 1
el el DA0MS0 1
tema tema NCMS000 0.993088
de de SP 0.999961
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
determinadas determinar VMP00PF 1
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
impugnada impugnar VMP00SF 1
, , Fc 1
cuestión cuestión NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
que que PR0CN00 0.550139
se se P00CN00 0.494509
refieren referir VMIP3P0 1
las el DA0FP0 0.988184
quejosas quejoso AQ0FP00 1
cuando cuando PR00000 0.13702
afirman afirmar VMIP3P0 1
en en SP 1
sus su DP3CPN 0.999903
agravios agravio NCMP000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
hizo hacer VMIS3S0 1
una uno DI0FS0 0.951973
interpretación interpretación NCFS000 1
literal literal AQ0CS00 0.661284
y y CC 0.999989
aislada aislar VMP00SF 1
de de SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
de de SP 1
el el DA0MS0 1
decreto decreto NCMS000 0.994186
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En en NP00000 1
segundo 2 AO0MS00 0.901147
lugar lugar NCMS000 1
, , Fc 1
los el DA0MP0 0.992728
demás demás DI0CP0 0.280093
argumentos argumento NCMP000 1
formulados formular VMP00PM 1
por por SP 1
la el DA0FS0 0.98926
responsable responsable NCCS000 0.758303
en en SP 1
su su DP3CSN 1
recurso recurso NCMS000 1
pretende pretender VMIP3S0 0.996894
demostrar demostrar VMN0000 1
que que CS 0.449861
es ser VSIP3S0 1
correcta correcto AQ0FS00 1
la el DA0FS0 0.98926
interpretación interpretación NCFS000 1
que que PR0CN00 0.550139
realizó realizar VMIS3S0 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
de de SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
de de SP 1
el el DA0MS0 1
decreto decreto NCMS000 0.994186
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
expidió expedir VMIS3S0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
; ; Fx 1
sin sin SP 1
embargo embargo NCMS000 0.995283
, , Fc 1
ya ya RG 0.999785
quedó quedar VMIS3S0 1
explicado explicar VMP00SM 1
que que CS 0.449861
el el DA0MS0 1
Máximo_Tribunal_de_el_País máximo_tribunal_de_el_país NP00000 1
ya ya RG 0.999785
se se P00CN00 0.494509
pronunció pronunciar VMIS3S0 1
en en SP 1
diversas diverso DI0FP0 0.805344
ejecutorias ejecutoria NCFP000 0.525493
sobre sobre SP 0.997804
ese ese DD0MS0 0.966694
tema tema NCMS000 0.993088
y y CC 0.999989
, , Fc 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
y y CC 0.999989
alcance alcance NCMS000 0.720779
que que PR0CN00 0.550139
le le PP3CSD0 1
dio dar VMIS3S0 1
a a SP 0.998775
esa ese DD0FS0 0.964505
Porción porción NP00000 1
normativa normativa NCFS000 0.992424
es ser VSIP3S0 1
distinto distinto AQ0MS00 1
a a SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
sostiene sostener VMIP3S0 1
dicho decir VMP00SM 0.997159
regulador regulador AQ0MS00 0.97619
, , Fc 1
de de SP 0.999961
ahí ahí RG 1
la el DA0FS0 0.98926
ineficacia ineficacia NCFS000 1
de de SP 0.999961
lo el DA00S0 0.665165
aducido aducir VMP00SM 1
sobre sobre SP 0.997804
el el DA0MS0 1
tema tema NCMS000 0.993088
en en SP 1
la el DA0FS0 0.98926
revisión revisión NCFS000 1
adhesiva adhesivo AQ0FS00 1
que que PR0CN00 0.550139
nos nos PP1CP00 0.810258
ocupa ocupar VMIP3S0 0.99505
. . Fp 1

En en SP 1
mérito mérito NCMS000 1
de de SP 0.999961
lo el DA00S0 0.665165
expuesto exponer VMP00SM 1
, , Fc 1
a a SP 1
el el DA0MS0 1
resultar resultar VMN0000 1
fundado fundar VMP00SM 1
el el DA0MS0 1
agravio agravio NCMS000 0.989726
expuesto exponer VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
parte parte NCCS000 0.977711
quejosa quejoso AQ0FS00 1
e y CC 0.987994
infundados infundado AQ0MP00 1
los el DA0MP0 0.992728
relativos relativo NCMP000 0.338706
de de SP 0.999961
la el DA0FS0 0.98926
revisión revisión NCFS000 1
adhesiva adhesivo AQ0FS00 1
, , Fc 1
se se P00CN00 0.494509
conceder conceder VMN0000 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
a a SP 0.998775
Teléfonos_de_el_México teléfonos_de_el_méxico NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
en_contra_de en_contra_de SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
de de SP 0.999961
desacuerdo desacuerdo NCMS000 0.97619
reclamada reclamar VMP00SF 1
, , Fc 1
así_como así_como CC 1
de de SP 0.999961
sus su DP3CPN 0.999903
efectos efecto NCMP000 1
y y CC 0.999989
consecuencias consecuencia NCFP000 1
, , Fc 1
para para SP 0.999834
el el DA0MS0 1
efecto efecto NCMS000 1
de de SP 0.999961
que que CS 0.449861
se se P00CN00 0.494509
deje dejar VMSP3S0 0.396104
insubsistente insubsistente AQ0CS00 1
y y CC 0.999989
dicte dictar VMSP3S0 0.484865
otra otro PI0FS00 0.259107
en en SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
: : Fd 1
Subsistan subsistir VMM03P0 0.0580364
todas todo DI0FP0 0.934073
las el DA0FP0 0.988184
consideraciones consideración NCFP000 1
y y CC 0.999989
resolutivos resolutivo NCMP000 0.529592
que que PR0CN00 0.550139
no no RN 0.999297
tengan tener VMSP3P0 0.78169
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
segundo 2 AO0MS00 0.901147
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
vigésimo 20 AO0MS00 1
transitorio transitorio AQ0MS00 1
de de SP 1
el el DA0MS0 1
decreto decreto NCMS000 0.994186
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
expidió expedir VMIS3S0 1
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
la el DA0FS0 0.98926
porción porción NCFS000 1
normativa normativa NCFS000 0.992424
de de SP 1
el el DA0MS0 1
acuerdo acuerdo NCMS000 0.999311
de de SP 0.999961
tarifas tarifa NCFP000 0.992958
para para SP 0.999834
dos_mil_quince 2015 Z 1
respecto_de respecto_de SP 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
se se P00CN00 0.494509
concedió conceder VMIS3S0 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
, , Fc 1
esto este PD00S00 1
es ser VSIP3S0 1
, , Fc 1
todas todo DI0FP0 0.934073
aquellas aquel PD0FP00 0.180233
que que PR0CN00 0.550139
no no RN 0.999297
tengan tener VMSP3P0 0.78169
relación relación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
vigencia vigencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
ahí ahí RG 1
determinadas determinar VMP00PF 1
. . Fp 1

Las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
establecidas establecer VMP00PF 1
tengan tener VMSP3P0 0.78169
vigencia vigencia NCFS000 1
durante durante SP 1
el el DA0MS0 1
periodo periodo NCMS000 1
que que PR0CN00 0.550139
comprende comprender VMIP3S0 0.738095
de de SP 1
el el DA0MS0 1
primero 1 AO0MS00 0.686916
de de SP 0.999961
enero [??:??/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
treinta_y_uno_de_diciembre_de_dos_mil_quince [??:31/12/2015:??.??:??] W 1
. . Fp 1

Se se P00CN00 0.494509
establezca establecer VMSP3S0 0.484863
la el DA0FS0 0.98926
obligación obligación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
, , Fc 1
en_caso_de en_caso_de SP 1
que que CS 0.449861
así así RG 0.999409
sea ser VSSP1S0 0.49434
procedente procedente AQ0CS00 1
, , Fc 1
de de SP 0.999961
devolver devolver VMN0000 1
o o CC 0.999864
pagar pagar VMN0000 1
las el DA0FP0 0.988184
diferencias diferencia NCFP000 0.996454
que que PR0CN00 0.550139
deriven derivar VMSP3P0 0.941964
de de SP 0.999961
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
determinadas determinar VMP00PF 1
por por SP 1
el el DA0MS0 1
regulador regulador AQ0MS00 0.97619
en en SP 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
reclamada reclamar VMP00SF 1
respecto_de respecto_de SP 1
los el DA0MP0 0.992728
montos monto NCMP000 1
que que PR0CN00 0.550139
ya ya RG 0.999785
fueron ser VSIS3P0 0.933213
cubiertos cubrir VMP00PM 0.738095
; ; Fx 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
a_fin_de a_fin_de SP 1
que que CS 0.449861
durante durante SP 1
todo todo DI0MS0 0.6662
dos_mil_quince 2015 Z 1
se se P00CN00 0.494509
cobren cobrar VMSP3P0 0.941964
efectivamente efectivamente RG 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
establecidas establecer VMP00PF 1
por por SP 1
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
En_consecuencia en_consecuencia NP00000 1
, , Fc 1
por por SP 1
lo el DA00S0 0.665165
expuesto exponer VMP00SM 1
, , Fc 1
fundado fundar VMP00SM 1
y y CC 0.999989
con con SP 1
apoyo apoyo NCMS000 0.998982
, , Fc 1
además además RG 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
107 107 Z 1
, , Fc 1
fracción fracción NCFS000 1
VIII viii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_General_de_la_República constitución_general_de_la_república NP00000 1
; ; Fx 1
81 81 Z 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
e y CC 0.987994
) ) Fpt 1
, , Fc 1
y y CC 0.999989
83 83 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_de_Amparo ley_de_amparo NP00000 1
; ; Fx 1
y y CC 0.999989
10 10 Z 1
, , Fc 1
fracción fracción NCFS000 1
II ii NP00000 1
, , Fc 1
inciso inciso AQ0MS00 0.66114
a a SP 0.998775
) ) Fpt 1
, , Fc 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Orgánica_de_el_Poder_Judicial_de_la_Federación ley_orgánica_de_el_poder_judicial_de_la_federación NP00000 1
, , Fc 1
se se P00CN00 0.494509
resuelve resolver VMIP3S0 0.989241
: : Fd 1
PRIMERO primero RG 0.312597
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
materia materia NCFS000 1
competencia competencia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
tribunal tribunal NCMS000 1
, , Fc 1
reservada reservar VMP00SF 1
por por SP 1
el el DA0MS0 1
Alto_Tribunal alto_tribunal NP00000 1
, , Fc 1
se se P00CN00 0.494509
MODIFICA modifica NP00000 1
la el DA0FS0 0.98926
sentencia sentencia NCFS000 0.972286
recurrida recurrir VMP00SF 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1

Se se P00CN00 0.494509
SOBRESEE sobresee NP00000 1
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
quejosas quejoso AQ0FP00 1
Teléfonos_de_México teléfonos_de_méxico NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
por por SP 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
hace hacer VMIP3S0 1
a a SP 1
el el DA0MS0 1
“ “ Fra 1
Acuerdo acuerdo NCMS000 0.991798
mediante mediante SP 0.99763
el el DA0MS0 1
cual cual PR0CS00 0.930743
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determina determinar VMIP3S0 0.989241
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
metodología metodología NCFS000 1
para para SP 0.999834
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
costos costo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
utilizará utilizar VMIF3S0 1
para para SP 0.999834
resolver resolver VMN0000 1
los el DA0MP0 0.992728
desacuerdos desacuerdo NCMP000 1
de de SP 0.999961
interconexión interconexión NCFS000 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
presenten presentar VMSP3P0 0.980769
respecto_de respecto_de SP 1
las el DA0FP0 0.988184
condiciones condición NCFP000 0.998418
aplicables aplicable AQ0CP00 1
a a SP 1
el el DA0MS0 1
año_dos_mil_quince [??:??/??/2015:??.??:??] W 1
” ” Frc 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1

La el DA0FS0 0.98926
Justicia_de_la_Unión_AMPARA_Y_PROTEGE justicia_de_la_unión_ampara_y_protege NP00000 1
a a SP 0.998775
Teléfonos_de_México teléfonos_de_méxico NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
y y CC 0.999989
Teléfonos_de_el_Noroeste teléfonos_de_el_noroeste NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
contra contra SP 0.984245
la el DA0FS0 0.98926
resolución resolución NCFS000 1
contenida contener VMP00SF 1
en en SP 1
el el DA0MS0 1
acuerdo acuerdo NCMS000 0.999311
P/IFT/0120815/351 P/IFT/0120815/351 Z 1
, , Fc 1
( ( Fpa 1
sic sic RG 1
) ) Fpt 1
de de SP 0.999961
doce_de_agosto_de_dos_mil_quince [??:12/8/2015:??.??:??] W 1
, , Fc 1
por por SP 1
la el DA0FS0 0.98926
que que PR0CN00 0.550139
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
determinó determinar VMIS3S0 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
que que PR0CN00 0.550139
dichas decir VMP00PF 0.980769
quejosas quejoso AQ0FP00 1
debía deber VMII3S0 0.65
pagar pagar VMN0000 1
a a SP 0.998775
Maxcom_Telecomunicaciones maxcom_telecomunicaciones NP00000 1
, , Fc 1
sociedad sociedad NCFS000 1
anónima anónimo AQ0FS00 1
bursátil bursátil AQ0CS00 1
de de SP 0.999961
capital capital NCCS000 0.949605
variable variable AQ0CS00 0.661294
, , Fc 1
por por SP 1
servicios servicio NCMP000 1
de de SP 0.999961
terminación terminación NCFS000 1
de de SP 1
el el DA0MS0 1
servicio servicio NCMS000 1
local local AQ0CS00 0.798805
en en SP 1
usuarios usuario NCMP000 0.78169
fijos fijo AQ0MP00 1
, , Fc 1
así_como así_como CC 1
de de SP 0.999961
sus su DP3CPN 0.999903
efectos efecto NCMP000 1
y y CC 0.999989
consecuencias consecuencia NCFP000 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
» » Frc 1
En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
el el DA0MS0 1
25_de_enero_de_2018 [??:25/1/2018:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
recibió recibir VMIS3S0 1
en en SP 1
la el DA0FS0 0.98926
Oficialía_de_Partes oficialía_de_partes NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto instituto NP00000 1
, , Fc 1
la el DA0FS0 0.98926
ejecutoria ejecutoria NCFS000 0.338898
correspondiente correspondiente AQ0CS00 0.993421
a a SP 1
el el DA0MS0 1
amparo amparo NCMS000 0.986111
en en SP 1
revisión revisión NCFS000 1
24/2016 24/2016 Z 1
, , Fc 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
18_de_enero_de_2018 [??:18/1/2018:??.??:??] W 1
, , Fc 1
emitida emitir VMP00SF 1
por por SP 1
el el DA0MS0 1
Segundo_Tribunal_Colegiado segundo_tribunal_colegiado NP00000 1
en en SP 1
Materia_Administrativa_Especializado materia_administrativa_especializado NP00000 1
en en SP 1
Competencia_Económica competencia_económica NP00000 1
, , Fc 1
Radiodifusión radiodifusión NP00000 1
y y CC 0.999989
Telecomunicaciones telecomunicaciones NP00000 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
cuyos cuyo PR0MP00 1
efectos efecto NCMP000 1
están estar VMIP3P0 0.99949
acotados acotar VMP00PM 1
a a SP 0.998775
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
El el DA0MS0 1
Instituto instituto NP00000 1
debe deber VMIP3S0 0.998712
determinar determinar VMN0000 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
de de SP 0.999961
interconexión interconexión NCFS000 1
para para SP 0.999834
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 1
el el DA0MS0 1
1_de_enero [??:1/1/??:??.??:??] W 1
a a SP 1
el el DA0MS0 1
31_de_agosto_de_2015 [??:31/8/2015:??.??:??] W 1
, , Fc 1
y y CC 0.999989
una uno DI0FS0 0.951973
vez vez NCFS000 1
fijadas fijar VMP00PF 1
las el DA0FP0 0.988184
tarifas tarifa NCFP000 0.992958
, , Fc 1
las el DA0FP0 0.988184
partes parte NCCP000 0.997076
deberán deber VMIF3P0 1
proceder proceder VMN0000 0.865854
a a SP 0.998775
realizar realizar VMN0000 1
el el DA0MS0 1
pago pago NCMS000 0.995283
por por SP 1
diferencias diferencia NCFP000 0.996454
que que PR0CN00 0.550139
corresponda corresponder VMSP3S0 0.634863
. . Fp 1

En en SP 1
tal tal DD0CS0 0.672764
virtud virtud NCFS000 1
, , Fc 1
y y CC 0.999989
a_efecto_de a_efecto_de SP 1
dar dar VMN0000 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
citada citar VMP00SF 1
ejecutoria ejecutoria NCFS000 0.338898
, , Fc 1
