RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_OTORGA_A_FAVOR_DE_EL_GOBIERNO_DE_EL_ESTADO_DE_MICHOACÁN_DE_OCAMPO_UNA_CONCESIÓN_PARA_USAR_Y_APROVECHAR_BANDAS_DE_FRECUENCIA_DE_EL_ESPECTRO_RADIOELÉCTRICO_PARA_USO_PÚBLICO resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_otorga_a_favor_de_el_gobierno_de_el_estado_de_michoacán_de_ocampo_una_concesión_para_usar_y_aprovechar_bandas_de_frecuencia_de_el_espectro_radioeléctrico_para_uso_público NP00000 1
de de SP 0.999961
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
y y CC 0.999989
promover promover VMN0000 1
la el DA0FS0 0.98926
educación educación NCFS000 1
para para SP 0.999834
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
en en SP 1
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
. . Fp 1

Igualmente igualmente RG 1
dispondrá disponer VMIF3S0 1
de de SP 0.999961
un uno DI0MS0 0.99698
espacio espacio NCMS000 0.998084
propio propio AQ0MS00 0.998575
para para SP 0.999834
presentar presentar VMN0000 1
quejas queja NCFP000 0.983871
y y CC 0.999989
sugerencias sugerencia NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
, , Fc 1
recomendaciones recomendación NCFP000 1
e y CC 0.987994
informes informe NCMP000 0.984962
periódicas periódico AQ0FP00 1
. . Fp 1

En_virtud_de en_virtud_de SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
la el DA0FS0 0.98926
conformación conformación NCFS000 1
e y CC 0.987994
implementación implementación NCFS000 1
de de SP 1
el el DA0MS0 1
Consejo_Ciudadano consejo_ciudadano NP00000 1
y y CC 0.999989
el el DA0MS0 1
Defensor_de_las_Audiencias defensor_de_las_audiencias NP00000 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
indicados indicar VMP00PM 1
en en SP 1
los el DA0MP0 0.992728
proyectos proyecto NCMP000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
, , Fc 1
son ser VSIP3P0 0.995197
elementos elemento NCMP000 1
adecuados adecuar VMP00PM 1
que que PR0CN00 0.550139
conllevan conllevar VMIP3P0 1
a a SP 0.998775
la el DA0FS0 0.98926
implementación implementación NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
que que PR0CN00 0.550139
permitan permitir VMSP3P0 0.990196
garantizar garantizar VMN0000 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
en en SP 1
relación relación NCFS000 1
con con SP 1
la el DA0FS0 0.98926
estación estación NCFS000 1
de de SP 0.999961
televisión televisión NCFS000 1
cuya cuyo PR0FS00 1
concesión concesión NCFS000 1
se se P00CN00 0.494509
solicita solicitar VMIP3S0 0.989241
. . Fp 1

D. d. NP00000 1
- - Fg 1
Reglas regla NCFP000 0.989071
claras claro AQ0FP00 0.990196
para para SP 0.999834
la el DA0FS0 0.98926
transparencia transparencia NCFS000 1
y y CC 0.999989
rendición rendición NCFS000 1
de de SP 0.999961
cuentas cuenta NCFP000 0.997449
. . Fp 1

El el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
a_través_de a_través_de SP 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
y y CC 0.999989
Directora_General_de_el_Sistema_Michoacano directora_general_de_el_sistema_michoacano NP00000 1
manifiesta manifestar VMIP3S0 0.69863
que que CS 0.449861
rige regir VMIP3S0 0.97619
su su DP3CSN 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
acuerdo acuerdo NCMS000 0.999311
a a SP 0.998775
una uno DI0FS0 0.951973
serie serie NCFS000 0.993392
de de SP 0.999961
principios principio NCMP000 1
rectores rector NCMP000 0.97619
, , Fc 1
entre entre SP 0.980341
los el DA0MP0 0.992728
que que PR0CN00 0.550139
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
máxima máximo AQ0FS00 0.919847
publicidad publicidad NCFS000 1
, , Fc 1
es ser VSIP3S0 1
decir decir VMN0000 0.998575
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
información información NCFS000 1
en en SP 1
su su DP3CSN 1
posesión posesión NCFS000 1
y y CC 0.999989
que que PR0CN00 0.550139
se se P00CN00 0.494509
genera generar VMIP3S0 0.98913
en_virtud_de en_virtud_de SP 1
sus su DP3CPN 0.999903
actividades actividad NCFP000 1
para para SP 0.999834
los el DA0MP0 0.992728
cuales cual PR0CP00 1
fue ser VSIS3S0 0.980739
creado crear VMP00SM 1
es ser VSIP3S0 1
pública público AQ0FS00 1
, , Fc 1
completa completo AQ0FS00 0.803681
, , Fc 1
oportuna oportuno AQ0FS00 1
y y CC 0.999989
accesible accesible AQ0CS00 1
a a SP 0.998775
cualquier cualquiera DI0CS0 1
persona persona NCFS000 0.996683
, , Fc 1
señalando señalar VMG0000 1
que que CS 0.449861
en en SP 1
su su DP3CSN 1
portal portal NCMS000 0.987805
de de SP 0.999961
internet internet NCCN000 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
“ “ Fra 1
Portal_de_Transparencia portal_de_transparencia NP00000 1
” ” Frc 1
cualquier cualquiera DI0CS0 1
persona persona NCFS000 0.996683
puede poder VMIP3S0 0.999693
formular formular VMN0000 1
solicitudes solicitud NCFP000 1
de de SP 0.999961
acceso acceso NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
información información NCFS000 1
, , Fc 1
así_como así_como CC 1
tener tener VMN0000 1
acceso acceso NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
información información NCFS000 1
relativa relativo AQ0FS00 1
a a SP 0.998775
las el DA0FP0 0.988184
actividades actividad NCFP000 1
que que PR0CN00 0.550139
desempeña desempeñar VMIP3S0 0.989241
en en SP 1
su su DP3CSN 1
carácter carácter NCMS000 1
de de SP 0.999961
organismo organismo NCMS000 1
público público AQ0MS00 0.409696
. . Fp 1

Asimismo asimismo RG 1
destacó destacar VMIS3S0 1
que que CS 0.449861
a_través_de a_través_de SP 1
su su DP3CSN 1
página página NCFS000 1
de de SP 0.999961
internet internet NCCN000 1
www www NCMS000 0.857212
. . Fp 1
laip lai_p NCMS000 1
. . Fp 1
michoacan michoacan VMIP3P0 1
. . Fp 1
gob gob AQ0CS00 1
. . Fp 1
mx m_x NCFS000 1
, , Fc 1
permitirá permitir VMIF3S0 1
el el DA0MS0 1
acceso acceso NCMS000 1
a a SP 0.998775
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
información información NCFS000 1
relativa relativo AQ0FS00 1
a a SP 0.998775
las el DA0FP0 0.988184
estaciones estación NCFP000 0.992424
de de SP 0.999961
televisión televisión NCFS000 1
solicitadas solicitar VMP00PF 1
y y CC 0.999989
operadas operar VMP00PF 1
por por SP 1
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
, , Fc 1
y y CC 0.999989
podrán poder VMIF3P0 1
dar dar VMN0000 1
seguimiento seguimiento NCMS000 1
a a SP 0.998775
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
acceso acceso NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
información información NCFS000 1
pública público AQ0FS00 1
e y CC 0.987994
indica indicar VMIP3S0 0.995495
el el DA0MS0 1
procedimiento procedimiento NCMS000 1
que que PR0CN00 0.550139
deben deber VMIP3P0 1
seguir seguir VMN0000 1
para para SP 0.999834
ingresar ingresar VMN0000 1
correctamente correctamente RG 1
dichas decir VMP00PF 0.980769
solicitudes solicitud NCFP000 1
. . Fp 1

E. e. NP00000 1
- - Fg 1
Defensa defensa NCCS000 0.668984
de de SP 0.999961
sus su DP3CPN 0.999903
contenidos contenido NCMP000 0.743902
. . Fp 1

El el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
a_través_de a_través_de SP 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
y y CC 0.999989
Directora_General_de_el_Sistema_Michoacano directora_general_de_el_sistema_michoacano NP00000 1
manifestó manifestar VMIS3S0 1
que que CS 0.449861
contará contar VMIF3S0 1
con con SP 1
un uno DI0MS0 0.99698
Defensor_de_Audiencias defensor_de_audiencias NP00000 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
será ser VSIF3S0 1
un uno DI0MS0 0.99698
órgano órgano NCMS000 1
de de SP 0.999961
auto-regulación auto-regulación NCFS000 1
que que PR0CN00 0.550139
opere operar VMSP3S0 0.634863
de de SP 0.999961
acuerdo acuerdo NCMS000 0.999311
a a SP 0.998775
los el DA0MP0 0.992728
criterios criterio NCMP000 1
de de SP 0.999961
su su DP3CSN 1
Código_de_Ética código_de_ética NP00000 1
y y CC 0.999989
de de SP 0.999961
Conducta conducta NP00000 1
, , Fc 1
que que PR0CN00 0.550139
busca buscar VMIP3S0 0.556851
reconocer reconocer VMN0000 1
y y CC 0.999989
velar velar VMN0000 0.375642
por por SP 1
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
, , Fc 1
criterios criterio NCMP000 1
editoriales editorial AQ0CP00 0.532722
, , Fc 1
calidad calidad NCFS000 1
, , Fc 1
variedad variedad NCFS000 1
y y CC 0.999989
veracidad veracidad NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
información información NCFS000 1
, , Fc 1
motivar motivar VMN0000 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
en en SP 1
un uno DI0MS0 0.99698
espacio espacio NCMS000 0.998084
de de SP 0.999961
vinculación vinculación NCFS000 1
e y CC 0.987994
interacción interacción NCFS000 1
que que PR0CN00 0.550139
contribuya contribuir VMSP3S0 0.634863
a a SP 0.998775
la el DA0FS0 0.98926
construcción construcción NCFS000 1
de de SP 1
el el DA0MS0 1
medio medio NCMS000 0.21966
púbico púbico AQ0MS00 1
. . Fp 1

Asimismo asimismo RG 1
señaló señalar VMIS3S0 1
que que CS 0.449861
el el DA0MS0 1
Defensor_de_las_Audiencias defensor_de_las_audiencias NP00000 1
será ser VSIF3S0 1
responsable responsable AQ0CS00 0.241697
de de SP 0.999961
recibir recibir VMN0000 1
, , Fc 1
documentar documentar VMN0000 1
, , Fc 1
procesar procesar VMN0000 1
y y CC 0.999989
dar dar VMN0000 1
seguimiento seguimiento NCMS000 1
a a SP 0.998775
las el DA0FP0 0.988184
observaciones observación NCFP000 1
, , Fc 1
quejas queja NCFP000 0.983871
, , Fc 1
sugerencias sugerencia NCFP000 1
, , Fc 1
peticiones petición NCFP000 0.987805
o o CC 0.999864
señalamientos señalamiento NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
, , Fc 1
que que PR0CN00 0.550139
garantiza garantizar VMIP3S0 0.987805
también también RG 1
que que CS 0.449861
se se P00CN00 0.494509
ejerzan ejercer VMSP3P0 0.941964
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
libertad libertad NCFS000 0.998188
de de SP 0.999961
expresión expresión NCFS000 1
, , Fc 1
libertad libertad NCFS000 0.998188
programática programático AQ0FS00 1
, , Fc 1
libertad libertad NCFS000 0.998188
editorial editorial AQ0CS00 0.253086
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
indicó indicar VMIS3S0 1
que que CS 0.449861
se se P00CN00 0.494509
observarán observar VMIF3P0 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
contenidas contener VMP00PF 1
en en SP 1
su su DP3CSN 1
Código_de_Ética código_de_ética NP00000 1
y y CC 0.999989
de de SP 0.999961
Conducta conducta NP00000 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
“ “ Fra 1
Estatuto_de_el_Defensor_de_la_Audiencia_de_el_Sistema_Michoacano_de_Radio estatuto_de_el_defensor_de_la_audiencia_de_el_sistema_michoacano_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
” ” Frc 1
, , Fc 1
creado crear VMP00SM 1
en en SP 1
términos término NCMP000 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
que que PR0CN00 0.550139
el el DA0MS0 1
Instituto instituto NP00000 1
determine determinar VMSP3S0 0.634863
para para SP 0.999834
tal tal DD0CS0 0.672764
efecto efecto NCMS000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
pondrá poner VMIF3S0 1
a a SP 0.998775
disposición disposición NCFS000 1
dentro_de dentro_de SP 1
su su DP3CSN 1
portal portal NCMS000 0.987805
de de SP 0.999961
Internet internet NP00000 1
y y CC 0.999989
número número NCMS000 1
telefónico telefónico AQ0MS00 1
los el DA0MP0 0.992728
mecanismos mecanismo NCMP000 1
que que PR0CN00 0.550139
les le PP3CPD0 1
de de SP 0.999961
accesibilidad accesibilidad NCFS000 1
a a SP 0.998775
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
interesados interesar VMP00PM 0.980769
y y CC 0.999989
a a SP 0.998775
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
con con SP 1
discapacidad discapacidad NCFS000 1
quienes quien PR0CP00 1
podrán poder VMIF3P0 1
expresar expresar VMN0000 1
sus su DP3CPN 0.999903
reclamaciones reclamación NCFP000 1
, , Fc 1
las el DA0FP0 0.988184
quejas queja NCFP000 0.983871
y y CC 0.999989
sugerencias sugerencia NCFP000 1
, , Fc 1
y y CC 0.999989
en_caso_de en_caso_de SP 1
ser ser VSN0000 0.959637
procedente procedente AQ0CS00 1
, , Fc 1
dar dar VMN0000 1
trámite trámite NCMS000 1
y y CC 0.999989
publicación publicación NCFS000 1
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
lineamientos lineamiento NCMP000 1
referidos referir VMP00PM 1
. . Fp 1

Para para SP 0.999834
tal tal DD0CS0 0.672764
efecto efecto NCMS000 1
, , Fc 1
el el DA0MS0 1
Sistema_Michoacana sistema_michoacana NP00000 1
estableció establecer VMIS3S0 1
en en SP 1
su su DP3CSN 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
“ “ Fra 1
Estatuto_de_el_Defensor_de_la_Audiencia_de_el_Sistema_Michoacano_de_Radio estatuto_de_el_defensor_de_la_audiencia_de_el_sistema_michoacano_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
” ” Frc 1
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
requisitos requisito NCMP000 0.98913
para para SP 0.999834
ser ser VSN0000 0.959637
Defensor_de_las_Audiencias defensor_de_las_audiencias NP00000 1
: : Fd 1
“ “ Fra 1
a a SP 0.998775
) ) Fpt 1
. . Fp 1
- - Fg 1
Tener tener VMN0000 1
cuando cuando CS 0.86298
menos menos RG 0.990694
treinta 30 Z 1
años año NCMP000 1
cumplidos cumplir VMP00PM 0.623747
a a SP 1
el el DA0MS0 1
día día NCMS000 1
siguiente siguiente AQ0CS00 1
de de SP 0.999961
su su DP3CSN 1
designación designación NCFS000 1
; ; Fx 1
b b NCFS000 1
) ) Fpt 1
. . Fp 1
- - Fg 1
Contar contar VMN0000 1
con con SP 1
reconocido reconocer VMP00SM 1
prestigio prestigio NCMS000 0.98913
en en SP 1
las el DA0FP0 0.988184
materias materia NCFP000 1
de de SP 0.999961
comunicación comunicación NCFS000 1
, , Fc 1
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
; ; Fx 1
c c NCFS000 1
) ) Fpt 1
. . Fp 1
- - Fg 1
No no RN 0.999263
haber haber VAN0000 0.987521
sido ser VSP00SM 1
condenado condenar VMP00SM 0.994792
por por SP 1
delito delito NCMS000 1
doloso doloso AQ0MS00 1
que que PR0CN00 0.550139
amerite ameritar VMSP3S0 0.634861
prisión prisión NCFS000 1
por por SP 1
más más RG 0.99993
de de SP 0.999961
un uno DI0MS0 0.99698
año año NCMS000 1
; ; Fx 1
y y CC 0.999989
d d NCFS000 1
) ) Fpt 1
. . Fp 1
- - Fg 1
Que que CS 0.449861
no no RN 0.999297
haya haber VASP1S0 0.493699
laborado laborar VMP00SM 1
con con SP 1
el el DA0MS0 1
concesionario concesionario NCMS000 0.488737
durante durante SP 1
un uno DI0MS0 0.99698
periodo periodo NCMS000 1
previo previo AQ0MS00 0.983871
de de SP 0.999961
dos 2 Z 0.999868
años año NCMP000 1
. . Fp 1
” ” Frc 1
Asimismo asimismo RG 1
, , Fc 1
el el DA0MS0 1
Defensor_de_la_Audiencias defensor_de_la_audiencias NP00000 1
tendrá tener VMIF3S0 1
entre entre SP 0.980341
otras otro DI0FP0 0.865408
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
atribuciones atribución NCFP000 1
: : Fd 1
“ “ Fra 1
Art. art. NP00000 1
3 3 Z 1
El_Defensor_de_la_Audiencia el_defensor_de_la_audiencia NP00000 1
será ser VSIF3S0 1
el el DA0MS0 1
responsable responsable NCCS000 0.758303
de de SP 0.999961
recibir recibir VMN0000 1
, , Fc 1
documentar documentar VMN0000 1
, , Fc 1
procesar procesar VMN0000 1
y y CC 0.999989
dar dar VMN0000 1
seguimiento seguimiento NCMS000 1
a a SP 0.998775
las el DA0FP0 0.988184
observaciones observación NCFP000 1
, , Fc 1
quejas queja NCFP000 0.983871
, , Fc 1
sugerencias sugerencia NCFP000 1
, , Fc 1
peticiones petición NCFP000 0.987805
o o CC 0.999864
señalamientos señalamiento NCMP000 1
de de SP 0.999961
las el DA0FP0 0.988184
personas persona NCFP000 0.999585
que que PR0CN00 0.550139
componen componer VMIP3P0 1
la el DA0FS0 0.98926
audiencia audiencia NCFS000 1
que que PR0CN00 0.550139
son ser VSIP3P0 0.995197
entre entre SP 0.980341
otros otro PI0MP00 0.254022
: : Fd 1
los el DA0MP0 0.992728
televidentes televidente NCCP000 1
, , Fc 1
radioescuchas radioescucha NCCP000 1
, , Fc 1
cibernautas cibernautas NCCP000 1
, , Fc 1
que que PR0CN00 0.550139
platean platear VMIP3P0 1
errores error NCMP000 1
graves grave AQ0CP00 0.994505
y y CC 0.999989
cuestiones cuestión NCFP000 0.996324
polémicas polémica NCFP000 0.97619
sobre sobre SP 0.997804
el el DA0MS0 1
tratamiento tratamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
informaciones información NCFP000 1
y y CC 0.999989
otros otro DI0MP0 0.745978
contenidos contenido NCMP000 0.743902
de de SP 1
el el DA0MS0 1
medio medio NCMS000 0.21966
, , Fc 1
y y CC 0.999989
las el DA0FP0 0.988184
de de SP 0.999961
quienes quien PR0CP00 1
se se P00CN00 0.494509
han haber VAIP3P0 0.999845
visto ver VMP00SM 0.998418
afectados afectar VMP00PM 0.421875
por por SP 1
una uno DI0FS0 0.951973
noticia noticia NCFS000 0.992095
y y CC 0.999989
consideran considerar VMIP3P0 1
vulnerados vulnerar VMP00PM 1
sus su DP3CPN 0.999903
derechos derecho NCMP000 0.996795
. . Fp 1

Art. art. NP00000 1
4 4 Z 1
El_Defensor_de_la_Audiencia el_defensor_de_la_audiencia NP00000 1
también también RG 1
estimulará estimular VMIF3S0 1
la el DA0FS0 0.98926
participación participación NCFS000 1
ciudadana ciudadano AQ0FS00 0.738095
en en SP 1
la el DA0FS0 0.98926
configuración configuración NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
contenidos contenido NCMP000 0.743902
y y CC 0.999989
la el DA0FS0 0.98926
programación programación NCFS000 1
de de SP 1
el el DA0MS0 1
medio medio NCMS000 0.21966
, , Fc 1
y y CC 0.999989
con con SP 1
ello ello PD00S00 1
se se P00CN00 0.494509
constituye constituir VMIP3S0 0.993827
en en SP 1
el el DA0MS0 1
canal canal NCMS000 1
para para SP 0.999834
que que CS 0.449861
el el DA0MS0 1
público público NCMS000 0.590304
realice realizar VMSP3S0 0.534863
sus su DP3CPN 0.999903
sugerencias sugerencia NCFP000 1
y y CC 0.999989
observaciones observación NCFP000 1
, , Fc 1
mismos mismo PI0MP00 0.47076
que que PR0CN00 0.550139
se se P00CN00 0.494509
canalizará canalizar VMIF3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Subdirección_de_Televisión subdirección_de_televisión NP00000 1
y y CC 0.999989
/ / Fh 1
o o CC 0.999864
Radio_de_el_Sistema_Michoacano_de_Radio radio_de_el_sistema_michoacano_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
. . Fp 1

Art. art. NP00000 1
5 5 Z 1
El_Defensor_de_la_Audiencia el_defensor_de_la_audiencia NP00000 1
ejercerá ejercer VMIF3S0 1
su su DP3CSN 1
función función NCFS000 1
con con SP 1
total total AQ0CS00 0.594697
independencia independencia NCFS000 1
y y CC 0.999989
autonomía autonomía NCFS000 1
y y CC 0.999989
con con SP 1
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
materiales material AQ0CP00 0.109375
que que PR0CN00 0.550139
necesite necesitar VMSP3S0 0.634863
, , Fc 1
ajustando ajustar VMG0000 1
se se PP3CN00 1
a a SP 0.998775
los el DA0MP0 0.992728
criterios criterio NCMP000 1
de de SP 0.999961
imparcialidad imparcialidad NCFS000 1
e y CC 0.987994
independencia independencia NCFS000 1
, , Fc 1
cuya cuyo PR0FS00 1
prioridad prioridad NCFS000 1
será ser VSIF3S0 1
la el DA0FS0 0.98926
de de SP 0.999961
hacer hacer VMN0000 1
valer valer VMN0000 0.821918
los el DA0MP0 0.992728
derechos derecho NCMP000 0.996795
de de SP 0.999961
las el DA0FP0 0.988184
audiencias audiencia NCFP000 1
previstos prever VMP00PM 1
en en SP 1
las el DA0FP0 0.988184
leyes ley NCFP000 1
de de SP 0.999961
la el DA0FS0 0.98926
materia materia NCFS000 1
, , Fc 1
el el DA0MS0 1
código código NCMS000 1
de de SP 0.999961
ética ética NCFS000 0.696078
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
que que PR0CN00 0.550139
se se P00CN00 0.494509
basa basar VMIP3S0 0.421881
su su DP3CSN 1
actuar actuar VMN0000 1
el el DA0MS0 1
Sistema_Michoacano_de_Radio sistema_michoacano_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
. . Fp 1
” ” Frc 1
En en SP 1
esa ese DD0FS0 0.964505
tesitura tesitura NCFS000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
Defensor_de_las_Audiencias defensor_de_las_audiencias NP00000 1
ejercerá ejercer VMIF3S0 1
libremente libremente RG 1
, , Fc 1
sin sin SP 1
persecución persecución NCFS000 1
o o CC 0.999864
investigación investigación NCFS000 1
judicial judicial AQ0CS00 1
o o CC 0.999864
administrativa administrativo AQ0FS00 0.661294
alguna alguno DI0FS0 0.820285
, , Fc 1
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
información información NCFS000 1
, , Fc 1
de de SP 0.999961
expresión expresión NCFS000 1
y y CC 0.999989
de de SP 0.999961
recepción recepción NCFS000 1
de de SP 0.999961
contenidos contenido NCMP000 0.743902
audiovisuales audiovisual AQ0CP00 0.661294
a_través_de a_través_de SP 1
el el DA0MS0 1
Servicio_de_Radiodifusión servicio_de_radiodifusión NP00000 1
. . Fp 1

Sin_perjuicio_de sin_perjuicio_de SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
manifiesta manifestar VMIP3S0 0.69863
que que CS 0.449861
una uno DI0FS0 0.951973
vez vez NCFS000 1
emitidos emitir VMP00PM 1
por por SP 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
y y CC 0.999989
publicados publicar VMP00PM 1
en en SP 1
el el DA0MS0 1
DOF_los_Lineamientos_Generales dof_los_lineamientos_generales NP00000 1
sobre sobre SP 0.997804
los el DA0MP0 0.992728
Derechos_de_las_Audiencias derechos_de_las_audiencias NP00000 1
, , Fc 1
dicho decir VMP00SM 0.997159
proyecto proyecto NCMS000 0.999084
se se P00CN00 0.494509
actualizará actualizar VMIF3S0 1
y y CC 0.999989
adecuará adecuar VMIF3S0 1
en en SP 1
los el DA0MP0 0.992728
términos término NCMP000 1
indicados indicar VMP00PM 1
en en SP 1
la el DA0FS0 0.98926
publicación publicación NCFS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
. . Fp 1

F. f. NP00000 1
- - Fg 1
Opciones opción NCFP000 0.668984
de de SP 0.999961
financiamiento financiamiento NCMS000 1
. . Fp 1

Como como CS 0.967153
se se P00CN00 0.494509
mencionó mencionar VMIS3S0 1
en en SP 1
el el DA0MS0 1
punto punto NCMS000 1
3.6 3.6 Z 1
de de SP 1
el el DA0MS0 1
Considerando_Tercero considerando_tercero NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
el el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
manifiesta manifestar VMIP3S0 0.69863
que que CS 0.449861
principalmente principalmente RG 1
se se P00CN00 0.494509
financiará financiar VMIF3S0 1
a_través_de a_través_de SP 1
un uno DI0MS0 0.99698
presupuesto presupuesto NCMS000 0.988439
anual anual AQ0CS00 1
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
momento momento NCMS000 1
autorice autorizar VMSP3S0 0.634858
el el DA0MS0 1
H._Congreso_de_Michoacán_de_Ocampo h._congreso_de_michoacán_de_ocampo NP00000 1
, , Fc 1
y y CC 0.999989
el el DA0MS0 1
Sistema_Michoacano sistema_michoacano NP00000 1
se se P00CN00 0.494509
financiará financiar VMIF3S0 1
a_través_de a_través_de SP 1
un uno DI0MS0 0.99698
presupuesto presupuesto NCMS000 0.988439
anual anual AQ0CS00 1
que que PR0CN00 0.550139
otorgue otorgar VMSP3S0 0.634863
la el DA0FS0 0.98926
Secretaría_de_Finanzas secretaría_de_finanzas NP00000 1
y y CC 0.999989
Administración_de_el_Gobierno_de_Michoacán administración_de_el_gobierno_de_michoacán NP00000 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
manifiesta manifestar VMIP3S0 0.69863
que que CS 0.449861
no no RN 0.999297
solo solo AQ0MS00 0.787529
se se P00CN00 0.494509
financiará financiar VMIF3S0 1
con con SP 1
presupuesto presupuesto NCMS000 0.988439
público público AQ0MS00 0.409696
que que PR0CN00 0.550139
garantice garantizar VMSP3S0 0.493976
su su DP3CSN 1
operación operación NCFS000 1
, , Fc 1
sino_que sino_que CC 1
adicionalmente adicionalmente RG 1
podrá poder VMIF3S0 1
tener tener VMN0000 1
cualquiera cualquiera PI0CS00 0.992958
de de SP 0.999961
las el DA0FP0 0.988184
fuentes fuente NCFP000 1
de de SP 0.999961
ingresos ingreso NCMP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
artículo artículo NCMS000 1
88 88 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
. . Fp 1

G. g. NP00000 1
- - Fg 1
Pleno pleno AQ0MS00 0.374613
acceso acceso NCMS000 1
a a SP 0.998775
tecnologías tecnología NCFP000 1
. . Fp 1

El el DA0MS0 1
Gobierno_de_Michoacán gobierno_de_michoacán NP00000 1
a_través_de a_través_de SP 1
el el DA0MS0 1
representante representante NCCS000 0.996689
legal legal AQ0CS00 1
y y CC 0.999989
