RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_NIEGA_A_NOKIA_SOLUTIONS_AND_NETWORKS resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_niega_a_nokia_solutions_and_networks NP00000 1
mandato mandato NCMS000 1
constitucional constitucional AQ0CS00 1
y y CC 0.999989
como como CS 0.967153
ya ya RG 0.999785
se se P00CN00 0.494509
señaló señalar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Considerando_Segundo considerando_segundo NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
90 90 Z 1
MHz mhz NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
están estar VMIP3P0 0.99949
destinados destinar VMP00PM 1
a a SP 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
. . Fp 1

Para para SP 0.999834
ello ello PD00S00 1
, , Fc 1
y y CC 0.999989
en_atención_a en_atención_a SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
142 142 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
asignará asignar VMIF3S0 1
directamente directamente RG 1
dicho decir VMP00SM 0.997159
espectro espectro NCMS000 1
, , Fc 1
mediante mediante SP 0.99763
concesión concesión NCFS000 1
de de SP 0.999961
uso uso NCMS000 0.998047
comercial comercial AQ0CS00 1
, , Fc 1
para para SP 0.999834
la el DA0FS0 0.98926
operación operación NCFS000 1
y y CC 0.999989
explotación explotación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
citada citar VMP00SF 1
red red NCFS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
como como CS 0.967153
ya ya RG 0.999785
se se P00CN00 0.494509
indicó indicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Considerando_Tercero considerando_tercero NP00000 1
, , Fc 1
ya ya RG 0.999785
se se P00CN00 0.494509
han haber VAIP3P0 0.999845
presentado presentar VMP00SM 1
en en SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
las el DA0FP0 0.988184
solicitudes solicitud NCFP000 1
de de SP 0.999961
concesión concesión NCFS000 1
respectivas respectivo AQ0FP00 1
para para SP 0.999834
el el DA0MS0 1
análisis análisis NCMN000 1
correspondiente correspondiente AQ0CS00 0.993421
, , Fc 1
mismo mismo PI0MS00 0.163706
que que PR0CN00 0.550139
culminará culminar VMIF3S0 1
con con SP 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
sendas sendos DI0FP0 0.983871
concesiones concesión NCFP000 1
en_favor_de en_favor_de SP 1
Altán_Redes altán_redes NP00000 1
, , Fc 1
S.A.P.I._de_C.V. s.a.p.i._de_c.v. NP00000 1
y y CC 0.999989
de de SP 1
el el DA0MS0 1
Organismo_Promotor_de_Inversiones organismo_promotor_de_inversiones NP00000 1
en en SP 1
Telecomunicaciones telecomunicaciones NP00000 1
. . Fp 1

Derivado derivar VMP00SM 0.623688
de de SP 0.999961
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
Altán_Redes altán_redes NP00000 1
, , Fc 1
S.A.P._I_de_C.V. s.a.p._i_de_c.v. NP00000 1
estaría estar VMIC1S0 0.495536
en en SP 1
posibilidad posibilidad NCFS000 1
de de SP 0.999961
iniciar iniciar VMN0000 1
de de SP 0.999961
manera manera NCFS000 1
inmediata inmediato AQ0FS00 1
el el DA0MS0 1
despliegue despliegue NCMS000 0.959459
de de SP 0.999961
la el DA0FS0 0.98926
infraestructura infraestructura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
, , Fc 1
sobre sobre SP 0.997804
todo todo DI0MS0 0.6662
considerando considerando NCMS000 0.186667
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
iniciar iniciar VMN0000 1
operaciones operación NCFP000 1
a_más_tardar a_más_tardar RG 1
el el DA0MS0 1
31_de_marzo_de_2018 [??:31/3/2018:??.??:??] W 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
y y CC 0.999989
como como CS 0.967153
consecuencia consecuencia NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
utilización utilización NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
90 90 Z 1
MHz mhz NP00000 1
en en SP 1
dicha decir VMP00SF 0.819767
banda banda NCFS000 1
por por SP 1
parte parte NCCS000 0.977711
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
, , Fc 1
de de SP 0.999961
otorgar otorgar VMN0000 1
se se PP3CN00 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
citada citar VMP00SF 1
empresa empresa NCFS000 1
, , Fc 1
las el DA0FP0 0.988184
operaciones operación NCFP000 1
que que PR0CN00 0.550139
pretende pretender VMIP3S0 0.996894
llevar_a_cabo llevar_a_cabo VMN0000 1
interferirían interferir VMIC3P0 1
con con SP 1
las el DA0FP0 0.988184
operaciones operación NCFP000 1
que que PR0CN00 0.550139
en en SP 1
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
banda banda NCFS000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
deben deber VMIP3P0 1
llevarse_a_cabo llevar_a_cabo VMN0000 1
para para SP 0.999834
desarrollar desarrollar VMN0000 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.999084
de de SP 0.999961
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
. . Fp 1

Es ser VSIP3S0 1
por por SP 1
ello ello PD00S00 1
que que PR0CN00 0.550139
resulta resultar VMIP3S0 0.993808
improcedente improcedente AQ0CS00 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
y y CC 0.999989
aprovechar aprovechar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
, , Fc 1
con con SP 1
propósitos propósito NCMP000 1
de de SP 0.999961
comprobación comprobación NCFS000 1
de de SP 0.999961
viabilidad viabilidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
económica económico AQ0FS00 1
de de SP 0.999961
tecnologías tecnología NCFP000 1
en en SP 1
desarrollo desarrollo NCMS000 0.99884
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
a a SP 0.998775
Nokia nokia NP00000 1
, , Fc 1
Finalmente finalmente NP00000 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
décimo 10 AO0MS00 0.607399
séptimo 7 AO0MS00 0.991803
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución constitución NP00000 1
, , Fc 1
en en SP 1
los el DA0MP0 0.992728
casos caso NCMP000 1
de de SP 0.999961
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
concesiones concesión NCFP000 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
y y CC 0.999989
radiodifusión radiodifusión NCFS000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
notificará notificar VMIF3S0 1
a a SP 1
el el DA0MS0 1
Secretario secretario NP00000 1
de de SP 1
el el DA0MS0 1
ramo ramo NCMS000 1
previo previo AQ0MS00 0.983871
a a SP 0.998775
su su DP3CSN 1
determinación determinación NCFS000 1
, , Fc 1
quien quien PR0CS00 1
podrá poder VMIF3S0 1
emitir emitir VMN0000 1
una uno DI0FS0 0.951973
opinión opinión NCFS000 1
técnica técnico AQ0FS00 0.294798
. . Fp 1

A a SP 1
el el DA0MS0 1
respecto respecto NCMS000 0.989726
, , Fc 1
resulta resultar VMIP3S0 0.993808
relevante relevante AQ0CS00 1
mencionar mencionar VMN0000 1
, , Fc 1
como como CS 0.967153
quedó quedar VMIS3S0 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_VIII antecedente_viii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
, , Fc 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
Secretaría secretaría NP00000 1
emitió emitir VMIS3S0 1
opinión opinión NCFS000 1
, , Fc 1
mediante mediante SP 0.99763
el el DA0MS0 1
oficio oficio NCMS000 0.986111
1.-267 1.-267 Z 1
de de SP 1
el el DA0MS0 1
4_de_noviembre_de_2016 [??:4/11/2016:??.??:??] W 1
, , Fc 1
en en SP 1
sentido sentido NCMS000 0.940835
no no RN 0.999297
favorable favorable AQ0CS00 1
, , Fc 1
señalando señalar VMG0000 1
entre entre SP 0.980341
otros otro DI0MP0 0.745978
aspectos aspecto NCMP000 1
, , Fc 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
[ [ Fca 1
… … Fz 1
] ] Fct 1
Asimismo asimismo NP00000 1
, , Fc 1
es ser VSIP3S0 1
pertinente pertinente AQ0CS00 1
señalar señalar VMN0000 1
, , Fc 1
que que CS 0.449861
conforme_a conforme_a SP 1
el el DA0MS0 1
calendario calendario NCMS000 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
concurso concurso NCMS000 0.991803
, , Fc 1
el el DA0MS0 1
20_de_octubre [??:20/10/??:??.??:??] W 1
de de SP 1
el el DA0MS0 1
año año NCMS000 1
en en SP 1
curso curso NCMS000 0.994505
se se P00CN00 0.494509
llevó_a_cabo llevar_a_cabo VMIS3S0 1
el el DA0MS0 1
proceso proceso NCMS000 0.999101
de de SP 0.999961
recepción recepción NCFS000 1
y y CC 0.999989
apertura apertura NCFS000 1
de de SP 0.999961
propuestas propuesta NCFP000 0.963576
técnico-económicas técnico_económico AQ0FP00 1
, , Fc 1
y y CC 0.999989
el el DA0MS0 1
fallo fallo NCMS000 0.985294
y y CC 0.999989
adjudicación adjudicación NCFS000 1
se se P00CN00 0.494509
emitirá emitir VMIF3S0 1
el el DA0MS0 1
17_de_noviembre_de_2016 [??:17/11/2016:??.??:??] W 1
, , Fc 1
a_efecto_de a_efecto_de SP 1
que que CS 0.449861
la el DA0FS0 0.98926
Red_Compartida red_compartida NP00000 1
inicie iniciar VMSP3S0 0.424658
operaciones operación NCFP000 1
el el DA0MS0 1
31_de_marzo_de_2018 [??:31/3/2018:??.??:??] W 1
, , Fc 1
sin_perjuicio_de sin_perjuicio_de SP 1
que que CS 0.449861
pueda poder VMSP3S0 0.499421
iniciar iniciar VMN0000 1
operaciones operación NCFP000 1
comerciales comercial AQ0CP00 0.99569
a_partir_de a_partir_de SP 1
que que CS 0.449861
el el DA0MS0 1
Contrato_de_Asociación_Público-Privado contrato_de_asociación_público-privado NP00000 1
( ( Fpa 1
APP app NP00000 1
) ) Fpt 1
surta surtir VMSP3S0 0.634854
efectos efecto NCMP000 1
y y CC 0.999989
se se P00CN00 0.494509
encuentre encontrar VMSP3S0 0.634863
en en SP 1
condiciones condición NCFP000 0.998418
de de SP 0.999961
hacer hacer VMN0000 1
lo lo PP3MSA0 1
. . Fp 1
[ [ Fca 1
… … Fz 1
] ] Fct 1
Por por NP00000 1
lo el DA00S0 0.665165
anteriormente anteriormente RG 1
expuesto exponer VMP00SM 1
, , Fc 1
esta este DD0FS0 0.978817
Secretaría secretaría NP00000 1
considera considerar VMIP3S0 0.998721
que que CS 0.449861
no no RN 0.999297
es ser VSIP3S0 1
procedente procedente AQ0CS00 1
otorgar otorgar VMN0000 1
la el DA0FS0 0.98926
concesión concesión NCFS000 1
solicitada solicitar VMP00SF 1
por por SP 1
Nokia_Solutions nokia_solutions NP00000 1
and and NCFS000 1
Networks networks NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
en_razón_de en_razón_de SP 1
que que CS 0.449861
el el DA0MS0 1
espectro espectro NCMS000 1
solicitado solicitar VMP00SM 1
se se P00CN00 0.494509
encuentra encontrar VMIP3S0 0.97619
en en SP 1
un uno DI0MS0 0.99698
proceso proceso NCMS000 0.999101
licitatorio licitar_torio NCCN000 1
. . Fp 1

Además además RG 1
, , Fc 1
conforme_a conforme_a SP 1
los el DA0MP0 0.992728
periodos periodo NCMP000 1
señalados señalar VMP00PM 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
anterior anterior AQ0CS00 1
, , Fc 1
dicha decir VMP00SF 0.819767
empresa empresa NCFS000 1
no no RN 0.999297
contaría contar VMIC3S0 0.649995
con con SP 1
el el DA0MS0 1
tiempo tiempo NCMS000 1
suficiente suficiente AQ0CS00 0.993994
para para SP 0.999834
realizar realizar VMN0000 1
las el DA0FP0 0.988184
pruebas prueba NCFP000 0.997881
de de SP 0.999961
los el DA0MP0 0.992728
equipos equipo NCMP000 1
que que PR0CN00 0.550139
utilizan utilizar VMIP3P0 1
las el DA0FP0 0.988184
frecuencias frecuencia NCFP000 1
requeridas requerir VMP00PF 1
. . Fp 1

[ [ Fca 1
… … Fz 1
] ] Fct 1
” ” Frc 1
Por por SP 1
lo el DA00S0 0.665165
anteriormente anteriormente RG 1
señalado señalar VMP00SM 1
, , Fc 1
y y CC 0.999989
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
28 28 Z 1
párrafos párrafo NCMP000 1
décimo 10 AO0MS00 0.607399
quinto quinto NCMS000 0.264249
, , Fc 1
décimo décimo NCMS000 0.392601
sexto 6 AO0MS00 0.987805
y y CC 0.999989
décimo 10 AO0MS00 0.607399
séptimo 7 AO0MS00 0.991803
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
; ; Fx 1
6 6 Z 1
fracción fracción NCFS000 1
IV iv NP00000 1
, , Fc 1
15 15 Z 1
fracción fracción NCFS000 1
IV iv NP00000 1
, , Fc 1
17 17 Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
54 54 Z 1
, , Fc 1
56 56 Z 1
, , Fc 1
75 75 Z 1
, , Fc 1
75 75 Z 1
fracción fracción NCFS000 1
III iii NP00000 1
inciso inciso AQ0MS00 0.66114
b b NCFS000 1
, , Fc 1
82 82 Z 1
y y CC 0.999989
142 142 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
; ; Fx 1
35 35 Z 1
fracción fracción NCFS000 1
I i NP00000 1
, , Fc 1
36 36 Z 1
, , Fc 1
38 38 Z 1
, , Fc 1
39 39 Z 1
y y CC 0.999989
57 57 Z 1
fracción fracción NCFS000 1
I_de_la_Ley_Federal_de_Procedimiento_Administrativo i_de_la_ley_federal_de_procedimiento_administrativo NP00000 1
, , Fc 1
y y CC 0.999989
1 1 Z 1
, , Fc 1
4 4 Z 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
, , Fc 1
V v NP00000 1
inciso inciso AQ0MS00 0.66114
iii iii RG 0.630556
) ) Fpt 1
, , Fc 1
IX ix NP00000 1
inciso inciso AQ0MS00 0.66114
ix i_x NCFS000 1
) ) Fpt 1
, , Fc 1
6 6 Z 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
XXXVIII xxxviii NP00000 1
, , Fc 1
32 32 Z 1
y y CC 0.999989
33 33 Z 1
fracción fracción NCFS000 1
I_de_el_Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones i_de_el_estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
y y CC 0.999989
1 1 Z 1
, , Fc 1
3 3 Z 1
y y CC 0.999989
8 8 Z 1
de de SP 0.999961
los el DA0MP0 0.992728
“ “ Fra 1
Lineamientos lineamiento NCMP000 0.668984
generales general AQ0CP00 0.916449
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
concesiones concesión NCFP000 1
a a SP 0.998775
que que PR0CN00 0.550139
se se P00CN00 0.494509
refiere referir VMIP3S0 0.994186
el el DA0MS0 1
Título_Cuarto_de_la_Ley_Federal_de_Telecomunicaciones título_cuarto_de_la_ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
” ” Frc 1
publicados publicar VMP00PM 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
24_de_julio_de_2015 [??:24/7/2015:??.??:??] W 1
, , Fc 1
este este DD0MS0 0.949201
órgano órgano NCMS000 1
autónomo autónomo AQ0MS00 0.980769
emite emitir VMIP3S0 0.989238
los el DA0MP0 0.992728
siguientes siguiente AQ0CP00 1
: : Fd 1
RESOLUTIVOS_PRIMERO resolutivos_primero NP00000 1
. . Fp 1
- - Fg 1
Se se P00CN00 0.494509
niega negar VMIP3S0 0.987805
a a SP 0.998775
Nokia_Solutions nokia_solutions NP00000 1
and and NCFS000 1
Networks networks NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
concesión concesión NCFS000 1
para para SP 0.999834
usar usar VMN0000 1
y y CC 0.999989
aprovechar aprovechar VMN0000 1
bandas banda NCFP000 1
de de SP 0.999961
frecuencias frecuencia NCFP000 1
de de SP 1
el el DA0MS0 1
espectro espectro NCMS000 1
radioeléctrico radioeléctrico AQ0MS00 1
para para SP 0.999834
uso uso NCMS000 0.998047
privado privar VMP00SM 0.99569
, , Fc 1
con con SP 1
propósitos propósito NCMP000 1
de de SP 0.999961
comprobación comprobación NCFS000 1
de de SP 0.999961
viabilidad viabilidad NCFS000 1
técnica técnico AQ0FS00 0.294798
y y CC 0.999989
económica económico AQ0FS00 1
de de SP 0.999961
tecnologías tecnología NCFP000 1
en en SP 1
desarrollo desarrollo NCMS000 0.99884
en en SP 1
la el DA0FS0 0.98926
banda banda NCFS000 1
de de SP 0.999961
700 700 Z 1
MHz mhz NP00000 1
, , Fc 1
en_atención_a en_atención_a SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
Considerandos_Tercero considerandos_tercero NP00000 1
y y CC 0.999989
Quinto quinto NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

SEGUNDO 2 AO0MS00 0.900353
. . Fp 1
- - Fg 1
Se se P00CN00 0.494509
instruye instruir VMIP3S0 0.989241
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Concesiones unidad_de_concesiones NP00000 1
y y CC 0.999989
Servicios servicios NP00000 1
a a SP 0.998775
notificar notificar VMN0000 1
a a SP 0.998775
Nokia_Solutions nokia_solutions NP00000 1
and and NCFS000 1
Networks networks NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
el el DA0MS0 1
contenido contenido NCMS000 0.993421
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
. . Fp 1

TERCERO 3 AO0MS00 0.986928
. . Fp 1
- - Fg 1
En en SP 1
cumplimiento cumplimiento NCMS000 1
a a SP 0.998775
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
3 3 Z 1
fracción fracción NCFS000 1
XV xv NP00000 1
y y CC 0.999989
39 39 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Procedimiento_Administrativo ley_federal_de_procedimiento_administrativo NP00000 1
, , Fc 1
se se P00CN00 0.494509
hace hacer VMIP3S0 1
de de SP 1
el el DA0MS0 1
conocimiento conocimiento NCMS000 1
de de SP 0.999961
Nokia_Solutions nokia_solutions NP00000 1
and and NCFS000 1
Networks networks NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
que que PR0CN00 0.550139
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
Resolución resolución NP00000 1
constituye constituir VMIP3S0 0.993827
un uno DI0MS0 0.99698
acto acto NCMS000 1
administrativo administrativo AQ0MS00 0.661294
definitivo definitivo AQ0MS00 1
y y CC 0.999989
por_lo_tanto por_lo_tanto RG 1
, , Fc 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
y y CC 0.999989
312 312 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
, , Fc 1
podrá poder VMIF3S0 1
ser ser VSN0000 0.959637
impugnada impugnar VMP00SF 1
mediante mediante SP 0.99763
juicio juicio NCMS000 1
de de SP 0.999961
amparo amparo NCMS000 0.986111
indirecto indirecto AQ0MS00 0.661294
ante ante SP 0.999744
los el DA0MP0 0.992728
juzgados juzgado NCMP000 0.418033
de de SP 0.999961
distrito distrito NCMS000 1
especializados especializar VMP00PM 1
en_materia_de en_materia_de SP 1
competencia competencia NCFS000 1
económica económico AQ0FS00 1
, , Fc 1
radiodifusión radiodifusión NCFS000 1
y y CC 0.999989
telecomunicaciones telecomunicación NCFP000 1
, , Fc 1
con con SP 1
residencia residencia NCFS000 0.988439
en en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
y y CC 0.999989
jurisdicción jurisdicción NCFS000 1
territorial territorial AQ0CS00 1
en en SP 1
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
República república NP00000 1
, , Fc 1
dentro_de dentro_de SP 1
el el DA0MS0 1
plazo plazo NCMS000 1
de de SP 0.999961
quince_días TM_d:15 Zu 1
hábiles hábil AQ0CP00 1
contados contar VMP00PM 0.623747
a_partir_de a_partir_de SP 1
que que CS 0.449861
surta surtir VMSP3S0 0.634854
efectos efecto NCMP000 1
la el DA0FS0 0.98926
notificación notificación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
resolución resolución NCFS000 1
, , Fc 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
17 17 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_de_Amparo ley_de_amparo NP00000 1
, , Fc 1
Reglamentaria reglamentaria NP00000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
103 103 Z 1
y y CC 0.999989
107 107 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
. . Fp 1

La el DA0FS0 0.98926
presente presente NCMS000 0.244403
Resolución resolución NP00000 1
fue ser VSIS3S0 0.980739
aprobada aprobar VMP00SF 1
por por SP 1
el el DA0MS0 1
Pleno_de_el_Instituto_Federal_de_Telecomunicaciones pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
en en SP 1
su su DP3CSN 1
I_Sesión_Ordinaria i_sesión_ordinaria NP00000 1
celebrada celebrar VMP00SF 1
el el DA0MS0 1
16_de_enero_de_2017 [??:16/1/2017:??.??:??] W 1
, , Fc 1
por por SP 1
unanimidad unanimidad NCFS000 1
de de SP 0.999961
votos voto NCMP000 1
de de SP 0.999961
los el DA0MP0 0.992728
Comisionados_Gabriel_Oswaldo_Contreras_Saldívar comisionados_gabriel_oswaldo_contreras_saldívar NP00000 1
, , Fc 1
Ernesto_Estrada_González ernesto_estrada_gonzález NP00000 1
, , Fc 1
Adriana_Sofía_Labardini_Inzunza adriana_sofía_labardini_inzunza NP00000 1
, , Fc 1
María_Elena_Estavillo_Flores maría_elena_estavillo_flores NP00000 1
, , Fc 1
Mario_Germán_Fromow_Rangel mario_germán_fromow_rangel NP00000 1
, , Fc 1
Adolfo_Cuevas_Teja adolfo_cuevas_teja NP00000 1
y y CC 0.999989
Javier_Juárez_Mojica javier_juárez_mojica NP00000 1
; ; Fx 1
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
los el DA0MP0 0.992728
párrafos párrafo NCMP000 1
vigésimo 20 AO0MS00 1
, , Fc 1
fracciones fracción NCFP000 0.998103
I i NP00000 1
y y CC 0.999989
III iii NP00000 1
; ; Fx 1
y y CC 0.999989
vigésimo 20 AO0MS00 1
primero 1 AO0MS00 0.686916
, , Fc 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
; ; Fx 1
artículos artículo NCMP000 1
7 7 Z 1
, , Fc 1
16 16 Z 1
y y CC 0.999989
45 45 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Telecomunicaciones ley_federal_de_telecomunicaciones NP00000 1
y y CC 0.999989
Radiodifusión radiodifusión NP00000 1
; ; Fx 1
así_como así_como CC 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
1 1 Z 1
, , Fc 1
7 7 Z 1
, , Fc 1
8 8 Z 1
y y CC 0.999989
12 12 Z 1
de de SP 1
el el DA0MS0 1
Estatuto_Orgánico_de_el_Instituto_Federal_de_Telecomunicaciones estatuto_orgánico_de_el_instituto_federal_de_telecomunicaciones NP00000 1
, , Fc 1
mediante mediante SP 0.99763
Acuerdo acuerdo NP00000 1
P/IFT/160117/3 P/IFT/160117/3 Z 1
. . Fp 1

7 7 Z 1

