ACUERDO_MEDIANTE_EL_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES acuerdo_mediante_el_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones NP00000 1
. . Fp 1

Es ser VSIP3S0 1
responsabilidad responsabilidad NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
Concesionarios concesionarios NP00000 1
mantener mantener VMN0000 1
actualizada actualizar VMP00SF 1
la el DA0FS0 0.98926
información información NCFS000 1
de de SP 0.999961
su su DP3CSN 1
( ( Fpa 1
s segundo NCMN000 0.585156
) ) Fpt 1
Representante representante NP00000 1
( ( Fpa 1
s segundo NCMN000 0.585156
) ) Fpt 1
ante ante SP 0.999744
el el DA0MS0 1
Comité comité NP00000 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
se se P00CN00 0.494509
reserva reservar VMIP3S0 0.157895
el el DA0MS0 1
derecho derecho NCMS000 0.882166
de de SP 0.999961
solicitar solicitar VMN0000 1
a a SP 0.998775
los el DA0MP0 0.992728
Representantes representantes NP00000 1
cuando cuando CS 0.86298
lo lo PP3MSA0 0.334764
juzgue juzgar VMSP3S0 0.634863
oportuno oportuno AQ0MS00 1
, , Fc 1
el el DA0MS0 1
acuse acuse NCMS000 0.626286
de de SP 1
el el DA0MS0 1
documento documento NCMS000 0.997159
sellado sellar VMP00SM 0.62374
por por SP 1
esta este DD0FS0 0.978817
autoridad autoridad NCFS000 1
que que PR0CN00 0.550139
ampare amparar VMSP3S0 0.634863
su su DP3CSN 1
designación designación NCFS000 1
ante ante SP 0.999744
el el DA0MS0 1
Comité comité NP00000 1
, , Fc 1
así_como así_como CC 1
, , Fc 1
una uno DI0FS0 0.951973
identificación identificación NCFS000 1
oficial oficial AQ0CS00 0.986284
que que PR0CN00 0.550139
acredite acreditar VMSP3S0 0.634861
su su DP3CSN 1
identidad identidad NCFS000 1
. . Fp 1

Regla_Sexta regla_sexta NP00000 1
. . Fp 1

El el DA0MS0 1
Comité comité NP00000 1
será ser VSIF3S0 1
presidido presidir VMP00SM 1
y y CC 0.999989
coordinado coordinar VMP00SM 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
para para SP 0.999834
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
designará designar VMIF3S0 1
a a SP 0.998775
un uno DI0MS0 0.99698
Presidente presidente NP00000 1
y y CC 0.999989
a a SP 0.998775
un uno DI0MS0 0.99698
Secretario secretario NP00000 1
y y CC 0.999989
a a SP 0.998775
sus su DP3CPN 0.999903
respectivos respectivo AQ0MP00 1
suplentes suplente NCCP000 0.638706
, , Fc 1
quienes quien PR0CP00 1
en en SP 1
ausencia ausencia NCFS000 1
de de SP 0.999961
los el DA0MP0 0.992728
primeros 1 AO0MP00 1
asumirán asumir VMIF3P0 1
las el DA0FP0 0.988184
facultades facultad NCFP000 1
descritas describir VMP00PF 1
en en SP 1
la el DA0FS0 0.98926
Reglas_Séptima reglas_séptima NP00000 1
y y CC 0.999989
Octava octava NP00000 1
, , Fc 1
según según CS 0.231127
se se P00CN00 0.494509
trate tratar VMSP3S0 0.495935
. . Fp 1

Estas este DD0FP0 0.969897
funciones función NCFP000 0.994186
invariablemente invariablemente RG 1
serán ser VSIF3P0 1
ocupadas ocupar VMP00PF 1
por por SP 1
servidores servidor NCMP000 1
públicos público AQ0MP00 0.974537
de de SP 1
el el DA0MS0 1
propio propio AQ0MS00 0.998575
Instituto instituto NP00000 1
. . Fp 1

Regla_Séptima regla_séptima NP00000 1
. . Fp 1

El el DA0MS0 1
Presidente_de_el_Comité presidente_de_el_comité NP00000 1
tendrá tener VMIF3S0 1
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
facultades facultad NCFP000 1
: : Fd 1
Emitir emitir VMN0000 1
la el DA0FS0 0.98926
convocatoria convocatoria NCFS000 0.993827
para para SP 0.999834
el el DA0MS0 1
registro registro NCMS000 0.992958
de de SP 0.999961
los el DA0MP0 0.992728
representantes representante NCCP000 0.998221
de de SP 0.999961
los el DA0MP0 0.992728
concesionarios concesionario NCMP000 0.62798
que que PR0CN00 0.550139
operen operar VMSP3P0 0.941964
redes red NCFP000 0.990196
públicas público AQ0FP00 1
de de SP 0.999961
telecomunicaciones telecomunicación NCFP000 1
; ; Fx 1
Emitir emitir NP00000 1
las el DA0FP0 0.988184
convocatorias convocatoria NCFP000 0.638575
para para SP 0.999834
las el DA0FP0 0.988184
sesiones sesión NCFP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
; ; Fx 1
Conducir conducir NP00000 1
las el DA0FP0 0.988184
sesiones sesión NCFP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
; ; Fx 1
Proponer proponer NP00000 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
sesiones sesión NCFP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
; ; Fx 1
Dar dar NP00000 1
por por SP 1
terminada terminar VMP00SF 1
la el DA0FS0 0.98926
discusión discusión NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
tema tema NCMS000 0.993088
y y CC 0.999989
someter someter VMN0000 1
lo lo PP3MSA0 1
a a SP 0.998775
votación votación NCFS000 1
; ; Fx 1
Proponer proponer NP00000 1
a a SP 1
el el DA0MS0 1
Comité comité NP00000 1
la el DA0FS0 0.98926
integración integración NCFS000 1
de de SP 0.999961
comisiones comisión NCFP000 0.992424
y y CC 0.999989
grupos grupo NCMP000 1
de de SP 0.999961
trabajo trabajo NCMS000 0.975768
; ; Fx 1
Presentar presentar NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Unidad unidad NP00000 1
competente competente AQ0CS00 1
, , Fc 1
para para SP 0.999834
formalización formalización NCFS000 1
por por SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
, , Fc 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
en en SP 1
los el DA0MP0 0.992728
que que PR0CN00 0.550139
el el DA0MS0 1
Comité comité NP00000 1
alcance alcanzar VMSP3S0 0.136364
acuerdo acuerdo NCMS000 0.999311
; ; Fx 1
Presentar presentar NP00000 1
, , Fc 1
a_través_de a_través_de SP 1
la el DA0FS0 0.98926
Unidad unidad NP00000 1
competente competente AQ0CS00 1
, , Fc 1
para para SP 0.999834
resolución resolución NCFS000 1
de de SP 1
el el DA0MS0 1
Pleno_de_el_Instituto pleno_de_el_instituto NP00000 1
, , Fc 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
en en SP 1
los el DA0MP0 0.992728
que que PR0CN00 0.550139
el el DA0MS0 1
Comité comité NP00000 1
no no RN 0.999297
alcance alcanzar VMSP3S0 0.136364
acuerdo acuerdo NCMS000 0.999311
; ; Fx 1
Las las NP00000 1
demás demás PI0CP00 0.719907
que que PR0CN00 0.550139
sean ser VSSP3P0 0.996689
necesarias necesario AQ0FP00 1
para para SP 0.999834
el el DA0MS0 1
adecuado adecuar VMP00SM 1
funcionamiento funcionamiento NCMS000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
. . Fp 1

Regla_Octava regla_octava NP00000 1
. . Fp 1

El el DA0MS0 1
Secretario secretario NP00000 1
tendrá tener VMIF3S0 1
las el DA0FP0 0.988184
siguientes siguiente AQ0CP00 1
facultades facultad NCFP000 1
: : Fd 1
Notificar notificar VMN0000 1
por por SP 1
los el DA0MP0 0.992728
medios medio NCMP000 0.997344
acordados acordar VMP00PM 1
las el DA0FP0 0.988184
convocatorias convocatoria NCFP000 0.638575
a a SP 0.998775
las el DA0FP0 0.988184
sesiones sesión NCFP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
; ; Fx 1
Verificar verificar NP00000 1
la el DA0FS0 0.98926
lista lista NCFS000 0.931818
de de SP 0.999961
asistencia asistencia NCFS000 1
y y CC 0.999989
el el DA0MS0 1
quórum quórum NCMN000 1
; ; Fx 1
Realizar realizar NP00000 1
el el DA0MS0 1
escrutinio escrutinio NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
votos voto NCMP000 1
emitidos emitir VMP00PM 1
por por SP 1
los el DA0MP0 0.992728
Representantes representantes NP00000 1
asistentes asistente AQ0CP00 0.256098
; ; Fx 1
Levantar levantar NP00000 1
las el DA0FP0 0.988184
actas acta NCFP000 1
de de SP 0.999961
cada cada DI0CS0 1
sesión sesión NCFS000 1
; ; Fx 1
Distribuir distribuir NP00000 1
entre entre SP 0.980341
los el DA0MP0 0.992728
Representantes representantes NP00000 1
las el DA0FP0 0.988184
actas acta NCFP000 1
de de SP 0.999961
cada cada DI0CS0 1
sesión sesión NCFS000 1
; ; Fx 1
Llevar llevar NP00000 1
un uno DI0MS0 0.99698
registro registro NCMS000 0.992958
actualizado actualizar VMP00SM 1
de de SP 0.999961
los el DA0MP0 0.992728
Representantes representantes NP00000 1
y y CC 0.999989
su su DP3CSN 1
información información NCFS000 1
de de SP 0.999961
contacto contacto NCMS000 0.994186
; ; Fx 1
Llevar llevar NP00000 1
un uno DI0MS0 0.99698
registro registro NCMS000 0.992958
y y CC 0.999989
control control NCMS000 1
de de SP 0.999961
actas acta NCFP000 1
, , Fc 1
acuerdos acuerdo NCMP000 1
, , Fc 1
resoluciones resolución NCFP000 1
emitidas emitir VMP00PF 1
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
y y CC 0.999989
toda todo DI0FS0 0.984467
la el DA0FS0 0.98926
documentación documentación NCFS000 1
relativa relativo AQ0FS00 1
a a SP 1
el el DA0MS0 1
funcionamiento funcionamiento NCMS000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
; ; Fx 1
Notificar notificar NP00000 1
a a SP 0.998775
los el DA0MP0 0.992728
Representantes representantes NP00000 1
por por SP 1
correo correo NCMS000 0.98913
electrónico electrónico AQ0MS00 1
las el DA0FP0 0.988184
Resoluciones resoluciones NP00000 1
aprobadas aprobar VMP00PF 1
por por SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
con_relación_a con_relación_a SP 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
materia materia NCFS000 1
de de SP 0.999961
este este DD0MS0 0.949201
Comité comité NP00000 1
; ; Fx 1
y y CC 0.999989
Las las NP00000 1
demás demás PI0CP00 0.719907
que que PR0CN00 0.550139
le le PP3CSD0 1
sean ser VSSP3P0 0.996689
conferidas conferir VMP00PF 1
por por SP 1
acuerdo acuerdo NCMS000 0.999311
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
para para SP 0.999834
el el DA0MS0 1
adecuado adecuar VMP00SM 1
funcionamiento funcionamiento NCMS000 1
de de SP 0.999961
este este DD0MS0 0.949201
. . Fp 1

Regla_Novena regla_novena NP00000 1
. . Fp 1

Para para SP 0.999834
iniciar iniciar VMN0000 1
una uno DI0FS0 0.951973
sesión sesión NCFS000 1
válidamente válidamente RG 1
se se P00CN00 0.494509
requerirá requerir VMIF3S0 1
la el DA0FS0 0.98926
presencia presencia NCFS000 0.99679
de de SP 0.999961
por_lo_menos por_lo_menos RG 1
5 5 Z 1
( ( Fpa 1
cinco 5 Z 0.999454
) ) Fpt 1
Representantes representantes NP00000 1
de de SP 0.999961
distintos distinto DI0MP0 0.678571
Concesionarios concesionarios NP00000 1
. . Fp 1

Las el DA0FP0 0.988184
sesiones sesión NCFP000 1
serán ser VSIF3P0 1
convocadas convocar VMP00PF 1
con con SP 1
la el DA0FS0 0.98926
frecuencia frecuencia NCFS000 1
necesaria necesario AQ0FS00 1
a_efecto_de a_efecto_de SP 1
cumplir cumplir VMN0000 1
con con SP 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
de de SP 0.999961
migración migración NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
interconexiones interconexión NCFP000 1
de de SP 0.999961
tecnología tecnología NCFS000 1
TDM tdm NP00000 1
a a SP 0.998775
tecnología tecnología NCFS000 1
IP ip NP00000 1
, , Fc 1
antes_de antes_de SP 1
el el DA0MS0 1
31_de_enero_de_2022 [??:31/1/2022:??.??:??] W 1
. . Fp 1

Regla_Décima regla_décima NP00000 1
. . Fp 1

A a SP 0.998775
cada cada DI0CS0 1
sesión sesión NCFS000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
podrán poder VMIF3P0 1
asistir asistir VMN0000 1
los el DA0MP0 0.992728
expertos experto NCMP000 0.973934
que que PR0CN00 0.550139
en en SP 1
su su DP3CSN 1
caso caso NCMS000 0.999445
considere considerar VMSP3S0 0.493976
el el DA0MS0 1
Instituto instituto NP00000 1
para para SP 0.999834
asesorar asesorar VMN0000 1
lo lo PP3MSA0 1
en en SP 1
los el DA0MP0 0.992728
diversos diverso DI0MP0 0.938596
temas tema NCMP000 0.99505
que que PR0CN00 0.550139
serán ser VSIF3P0 1
abordados abordar VMP00PM 1
, , Fc 1
cualesquier cualquiera DI0CP0 1
otro otro DI0MS0 0.658501
servidor servidor NCMS000 1
público público AQ0MS00 0.409696
de de SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
que que CS 0.449861
tenga tener VMSP3S0 0.488844
interés interés NCMS000 1
en en SP 1
participar participar VMN0000 1
, , Fc 1
y y CC 0.999989
asociaciones asociación NCFP000 1
que que PR0CN00 0.550139
hayan haber VASP3P0 0.994792
sido ser VSP00SM 1
invitadas invitar VMP00PF 0.593726
por por SP 1
el el DA0MS0 1
Instituto instituto NP00000 1
, , Fc 1
mismos mismo PI0MP00 0.47076
que que PR0CN00 0.550139
podrán poder VMIF3P0 1
expresar expresar VMN0000 1
su su DP3CSN 1
opinión opinión NCFS000 1
en en SP 1
relación relación NCFS000 1
a a SP 0.998775
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
por por SP 1
desahogar desahogar VMN0000 1
en en SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
, , Fc 1
pero pero CC 0.999902
sin sin SP 1
derecho derecho NCMS000 0.882166
a a SP 0.998775
voto voto NCMS000 0.997159
. . Fp 1

Regla_Undécima regla_undécima NP00000 1
. . Fp 1

La el DA0FS0 0.98926
convocatoria convocatoria NCFS000 0.993827
para para SP 0.999834
la el DA0FS0 0.98926
celebración celebración NCFS000 1
de de SP 0.999961
una uno DI0FS0 0.951973
sesión sesión NCFS000 1
, , Fc 1
se se P00CN00 0.494509
notificará notificar VMIF3S0 1
vía vía SP 0.0582707
correo correo NCMS000 0.98913
electrónico electrónico AQ0MS00 1
a a SP 0.998775
los el DA0MP0 0.992728
Representantes representantes NP00000 1
y y CC 0.999989
deberá deber VMIF3S0 1
estar estar VMN0000 0.999154
disponible disponible AQ0CS00 1
en en SP 1
la el DA0FS0 0.98926
página página NCFS000 1
de de SP 0.999961
Internet_de_el_Instituto internet_de_el_instituto NP00000 1
, , Fc 1
con con SP 1
a a SP 1
el el DA0MS0 1
menos menos RG 0.990694
2 2 Z 1
( ( Fpa 1
dos 2 Z 0.999868
) ) Fpt 1
días día NCMP000 1
hábiles hábil AQ0CP00 1
de de SP 0.999961
anticipación anticipación NCFS000 1
a a SP 0.998775
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
señalada señalar VMP00SF 1
para para SP 0.999834
su su DP3CSN 1
celebración celebración NCFS000 1
. . Fp 1

La el DA0FS0 0.98926
convocatoria convocatoria NCFS000 0.993827
deberá deber VMIF3S0 1
incluir incluir VMN0000 1
la el DA0FS0 0.98926
fecha fecha NCFS000 0.990741
, , Fc 1
hora hora NCFS000 1
de de SP 0.999961
inicio inicio NCMS000 0.996183
y y CC 0.999989
lugar lugar NCMS000 1
en en SP 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
llevará_a_cabo llevar_a_cabo VMIF3S0 1
la el DA0FS0 0.98926
sesión sesión NCFS000 1
, , Fc 1
así_como así_como CC 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
. . Fp 1

Regla_Duodécima regla_duodécima NP00000 1
. . Fp 1

En en SP 1
el el DA0MS0 1
rubro rubro NCMS000 0.622479
de de SP 0.999961
asuntos asunto NCMP000 1
generales general AQ0CP00 0.916449
de de SP 0.999961
cada cada DI0CS0 1
sesión sesión NCFS000 1
, , Fc 1
los el DA0MP0 0.992728
Representantes representantes NP00000 1
podrán poder VMIF3P0 1
solicitar solicitar VMN0000 1
la el DA0FS0 0.98926
inclusión inclusión NCFS000 1
de de SP 0.999961
temas tema NCMP000 0.99505
en en SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
siguiente siguiente AQ0CS00 1
sesión sesión NCFS000 1
, , Fc 1
manifestando manifestar VMG0000 1
los el DA0MP0 0.992728
antecedentes antecedente NCMP000 0.983871
y y CC 0.999989
una uno DI0FS0 0.951973
breve breve AQ0CS00 1
explicación explicación NCFS000 1
de de SP 1
el el DA0MS0 1
asunto asunto NCMS000 1
. . Fp 1

En_caso_de en_caso_de SP 1
que que CS 0.449861
el el DA0MS0 1
tema tema NCMS000 0.993088
que que PR0CN00 0.550139
se se P00CN00 0.494509
solicite solicitar VMSP3S0 0.634863
incluir incluir VMN0000 1
en en SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
haya haber VASP1S0 0.493699
sido ser VSP00SM 1
acordado acordar VMP00SM 1
o o CC 0.999864
resuelto resolver VMP00SM 1
previamente previamente RG 1
, , Fc 1
el el DA0MS0 1
Presidente presidente NP00000 1
decidirá decidir VMIF3S0 1
sobre sobre SP 0.997804
la el DA0FS0 0.98926
procedencia procedencia NCFS000 1
de de SP 0.999961
su su DP3CSN 1
inclusión inclusión NCFS000 1
. . Fp 1

Regla_Décima_Tercera regla_décima_tercera NP00000 1
. . Fp 1

Una uno DI0FS0 0.951973
vez vez NCFS000 1
verificado verificar VMP00SM 1
el el DA0MS0 1
quórum quórum NCMN000 1
, , Fc 1
el el DA0MS0 1
Presidente presidente NP00000 1
dará dar VMIF3S0 1
inicio inicio NCMS000 0.996183
a a SP 0.998775
la el DA0FS0 0.98926
sesión sesión NCFS000 1
mediante mediante SP 0.99763
la el DA0FS0 0.98926
lectura lectura NCFS000 1
y y CC 0.999989
desahogo desahogo NCMS000 0.989709
de de SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
. . Fp 1

Las el DA0FP0 0.988184
sesiones sesión NCFP000 1
se se P00CN00 0.494509
conducirán conducir VMIF3P0 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
y y CC 0.999989
cada cada DI0CS0 1
participante participante NCCS000 0.458701
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
podrá poder VMIF3S0 1
expresar expresar VMN0000 1
su su DP3CSN 1
opinión opinión NCFS000 1
sobre sobre SP 0.997804
los el DA0MP0 0.992728
asuntos asunto NCMP000 1
tratados tratar VMP00PM 0.303922
. . Fp 1

Cuando cuando CS 0.86298
el el DA0MS0 1
Presidente presidente NP00000 1
considere considerar VMSP3S0 0.493976
que que CS 0.449861
un uno DI0MS0 0.99698
tema tema NCMS000 0.993088
de de SP 1
el el DA0MS0 1
orden orden NCCS000 1
de de SP 1
el el DA0MS0 1
día día NCMS000 1
haya haber VASP1S0 0.493699
sido ser VSP00SM 1
agotado agotar VMP00SM 1
, , Fc 1
se se P00CN00 0.494509
someterá someter VMIF3S0 1
a a SP 0.998775
votación votación NCFS000 1
. . Fp 1

El el DA0MS0 1
Secretario secretario NP00000 1
preguntará preguntar VMIF3S0 1
a a SP 0.998775
los el DA0MP0 0.992728
Representantes representantes NP00000 1
el el DA0MS0 1
sentido sentido NCMS000 0.940835
de de SP 0.999961
su su DP3CSN 1
voto voto NCMS000 0.997159
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
podrá poder VMIF3S0 1
ser ser VSN0000 0.959637
a a SP 0.998775
favor favor NCMS000 1
, , Fc 1
en en SP 1
contra contra NCCS000 0.0121879
o o CC 0.999864
abstención abstención NCFS000 1
. . Fp 1

El el DA0MS0 1
Secretario secretario NP00000 1
contará contar VMIF3S0 1
los el DA0MP0 0.992728
votos voto NCMP000 1
y y CC 0.999989
asentará asentar VMIF3S0 1
en en SP 1
el el DA0MS0 1
acta acta NCFS000 1
el el DA0MS0 1
resultado resultado NCMS000 0.924877
de de SP 0.999961
la el DA0FS0 0.98926
votación votación NCFS000 1
. . Fp 1

El el DA0MS0 1
cierre cierre NCMS000 0.875
de de SP 1
el el DA0MS0 1
acta acta NCFS000 1
de de SP 0.999961
sesión sesión NCFS000 1
se se P00CN00 0.494509
dará dar VMIF3S0 1
con con SP 1
la el DA0FS0 0.98926
lectura lectura NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
misma mismo AQ0FS00 0.81684
y y CC 0.999989
la el DA0FS0 0.98926
firma firma NCFS000 0.977901
de de SP 0.999961
los el DA0MP0 0.992728
Representantes representantes NP00000 1
presentes presente AQ0CP00 0.856209
; ; Fx 1
la el DA0FS0 0.98926
falta falta NCFS000 0.809701
de de SP 0.999961
firma firma NCFS000 0.977901
de de SP 0.999961
algún alguno DI0MS0 1
Representante representante NP00000 1
no no RN 0.999297
dará dar VMIF3S0 1
lugar lugar NCMS000 1
a a SP 0.998775
la el DA0FS0 0.98926
nulidad nulidad NCFS000 1
de de SP 1
el el DA0MS0 1
acta acta NCFS000 1
o o CC 0.999864
cualquier cualquiera DI0CS0 1
acuerdo acuerdo NCMS000 0.999311
tomado tomar VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
sesión sesión NCFS000 1
. . Fp 1

Regla_Décima_Cuarta regla_décima_cuarta NP00000 1
. . Fp 1

Se se P00CN00 0.494509
considerará considerar VMIF3S0 1
que que CS 0.449861
el el DA0MS0 1
Comité comité NP00000 1
ha haber VAIP3S0 0.999889
alcanzado alcanzar VMP00SM 1
un uno DI0MS0 0.99698
acuerdo acuerdo NCMS000 0.999311
sobre sobre SP 0.997804
un uno DI0MS0 0.99698
tema tema NCMS000 0.993088
cuando cuando CS 0.86298
este este PD0MS00 0.0356411
haya haber VASP1S0 0.493699
sido ser VSP00SM 1
adoptado adoptar VMP00SM 0.990196
por por SP 1
Unanimidad unanimidad NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
formalizará formalizar VMIF3S0 1
los el DA0MP0 0.992728
temas tema NCMP000 0.99505
en en SP 1
los el DA0MP0 0.992728
que que PR0CN00 0.550139
el el DA0MS0 1
Comité comité NP00000 1
alcance alcanzar VMSP3S0 0.136364
acuerdo acuerdo NCMS000 0.999311
. . Fp 1

En_caso_de en_caso_de SP 1
no no RN 0.999297
alcanzar alcanzar VMN0000 1
Unanimidad unanimidad NP00000 1
, , Fc 1
el el DA0MS0 1
Instituto instituto NP00000 1
por por SP 1
conducto conducto NCMS000 1
de de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
será ser VSIF3S0 1
quien quien PR0CS00 1
resuelva resolver VMSP3S0 0.495935
en en SP 1
forma forma NCFS000 0.987798
definitiva definitivo AQ0FS00 1
tomando tomar VMG0000 1
en en SP 1
consideración consideración NCFS000 1
los el DA0MP0 0.992728
argumentos argumento NCMP000 1
y y CC 0.999989
propuestas propuesta NCFP000 0.963576
de de SP 0.999961
cada cada DI0CS0 1
parte parte NCCS000 0.977711
, , Fc 1
y y CC 0.999989
demás demás DI0CP0 0.280093
información información NCFS000 1
disponible disponible AQ0CS00 1
, , Fc 1
bajo bajo SP 0.909179
principios principio NCMP000 1
de de SP 0.999961
celeridad celeridad NCFS000 1
, , Fc 1
equidad equidad NCFS000 1
, , Fc 1
neutralidad neutralidad NCFS000 1
tecnológica tecnológico AQ0FS00 1
, , Fc 1
transparencia transparencia NCFS000 1
, , Fc 1
no no RN 0.999297
discriminación discriminación NCFS000 1
y y CC 0.999989
sana sano AQ0FS00 0.746504
competencia competencia NCFS000 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
a_través_de a_través_de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
podrá poder VMIF3S0 1
revocar revocar VMN0000 1
los el DA0MP0 0.992728
acuerdos acuerdo NCMP000 1
de de SP 1
el el DA0MS0 1
Comité comité NP00000 1
cuando cuando CS 0.86298
estos este PD0MP00 0.0279912
vayan ir VMSP3P0 0.986111
en_contra_de en_contra_de SP 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.99884
eficiente eficiente AQ0CS00 1
de de SP 0.999961
las el DA0FP0 0.988184
telecomunicaciones telecomunicación NCFP000 1
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
la el DA0FS0 0.98926
legislación legislación NCFS000 1
vigente vigente AQ0CS00 1
o o CC 0.999864
cuando cuando CS 0.86298
se se P00CN00 0.494509
afecte afectar VMSP1S0 0.634863
la el DA0FS0 0.98926
competencia competencia NCFS000 1
y y CC 0.999989
la el DA0FS0 0.98926
libre libre AQ0CS00 0.957522
concurrencia concurrencia NCFS000 1
, , Fc 1
o o CC 0.999864
cuando cuando CS 0.86298
exista existir VMSP3S0 0.497942
otro otro DI0MS0 0.658501
tipo tipo NCMS000 1
de de SP 0.999961
justificación justificación NCFS000 1
que que PR0CN00 0.550139
lo lo PP3MSA0 0.334764
amerite ameritar VMSP3S0 0.634861
. . Fp 1

Regla_Décima_Quinta regla_décima_quinta NP00000 1
. . Fp 1

Para para SP 0.999834
tratar tratar VMN0000 1
temas tema NCMP000 0.99505
especiales especial AQ0CP00 1
y y CC 0.999989
hacer hacer VMN0000 1
más más RG 0.99993
eficientes eficiente AQ0CP00 1
los el DA0MP0 0.992728
procesos proceso NCMP000 1
resolutivos resolutivo AQ0MP00 0.470408
, , Fc 1
el el DA0MS0 1
Comité comité NP00000 1
podrá poder VMIF3S0 1
acordar acordar VMN0000 1
la el DA0FS0 0.98926
conformación conformación NCFS000 1
de de SP 0.999961
grupos grupo NCMP000 1
de de SP 0.999961
trabajo trabajo NCMS000 0.975768
. . Fp 1

Las el DA0FP0 0.988184
conclusiones conclusión NCFP000 1
obtenidas obtener VMP00PF 1
en en SP 1
dichos decir VMP00PM 0.97619
grupos grupo NCMP000 1
de de SP 0.999961
trabajo trabajo NCMS000 0.975768
deberán deber VMIF3P0 1
ser ser VSN0000 0.959637
presentadas presentar VMP00PF 1
ante ante SP 0.999744
el el DA0MS0 1
Comité comité NP00000 1
para para SP 0.999834
su su DP3CSN 1
análisis análisis NCMN000 1
. . Fp 1

Regla_Décima_Sexta regla_décima_sexta NP00000 1
. . Fp 1

El el DA0MS0 1
Instituto instituto NP00000 1
a_través_de a_través_de SP 1
el el DA0MS0 1
Pleno pleno NP00000 1
interpretará interpretar VMIF3S0 1
las el DA0FP0 0.988184
presentes presente AQ0CP00 0.856209
reglas regla NCFP000 0.994505
a_fin_de a_fin_de SP 1
resolver resolver VMN0000 1
cualquier cualquiera DI0CS0 1
aspecto aspecto NCMS000 1
no no RN 0.999297
previsto prever VMP00SM 1
, , Fc 1
para para SP 0.999834
todos todo DI0MP0 0.70665
los el DA0MP0 0.992728
efectos efecto NCMP000 1
a a SP 0.998775
que que CS 0.449861
