RESOLUCIÓN_MEDIANTE_LA_CUAL_EL_PLENO_DE_EL_INSTITUTO_FEDERAL_DE_TELECOMUNICACIONES_AUTORIZA_LA_MODIFICACIÓN_A_LAS_CARACTERÍSTICAS_TÉCNICAS_DE_LA_ESTACIÓN_DE_RADIODIFUSIÓN_SONORA_CON_DISTINTIVO_DE_LLAMADA_XHLIA-FM_QUE_OPERA_LA_FRECUENCIA resolución_mediante_la_cual_el_pleno_de_el_instituto_federal_de_telecomunicaciones_autoriza_la_modificación_a_las_características_técnicas_de_la_estación_de_radiodifusión_sonora_con_distintivo_de_llamada_xhlia-fm_que_opera_la_frecuencia NP00000 1
el el DA0MS0 1
trámite trámite NCMS000 1
. . Fp 1

Visto ver VMP00SM 0.998418
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
, , Fc 1
presentó presentar VMIS3S0 1
por por SP 1
escrito escribir VMP00SM 0.533113
su su DP3CSN 1
solicitud solicitud NCFS000 1
acompañada acompañar VMP00SF 1
de de SP 1
el el DA0MS0 1
Estudio_de_Predicción_de_Areas_de_Servicio estudio_de_predicción_de_areas_de_servicio NP00000 1
( ( Fpa 1
AS-FM as-fm NP00000 0.47288
) ) Fpt 1
, , Fc 1
Plano_de_Ubicación plano_de_ubicación NP00000 1
( ( Fpa 1
PU-FM pu-fm NP00000 1
) ) Fpt 1
y y CC 0.999989
comprobante comprobante NCMS000 1
de de SP 0.999961
pago pago NCMS000 0.995283
de de SP 0.999961
derechos derecho NCMP000 0.996795
con con SP 1
número número NCMS000 1
de de SP 0.999961
folio folio NCMS000 0.989726
665130006108 665130006108 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
23_de_agosto_de_2013 [??:23/8/2013:??.??:??] W 1
. . Fp 1

Asimismo asimismo RG 1
, , Fc 1
conforme_a conforme_a SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_X antecedente_x NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
presente presente AQ0CS00 0.524254
resolución resolución NCFS000 1
, , Fc 1
la el DA0FS0 0.98926
Dirección_General_de_Aeronáutica_Civil_de_la_Secretaría_de_Comunicaciones dirección_general_de_aeronáutica_civil_de_la_secretaría_de_comunicaciones NP00000 1
y y CC 0.999989
Transportes transportes NP00000 1
, , Fc 1
mediante mediante SP 0.99763
oficio oficio NCMS000 0.986111
4.1.2.3.1903/VUS 4.1.2.3.1903/VUS Z 1
de de SP 0.999961
12_de_junio_de_2014 [??:12/6/2014:??.??:??] W 1
, , Fc 1
recibido recibir VMP00SM 1
en en SP 1
este este DD0MS0 0.949201
Instituto instituto NP00000 1
el el DA0MS0 1
día_20_de_noviembre_de_2014 [??:20/11/2014:??.??:??] W 1
, , Fc 1
con con SP 1
número número NCMS000 1
de de SP 0.999961
folio folio NCMS000 0.989726
61514 61514 Z 1
, , Fc 1
aprobó aprobar VMIS3S0 1
la el DA0FS0 0.98926
instalación instalación NCFS000 1
de de SP 0.999961
un uno DI0MS0 0.99698
soporte soporte NCMS000 0.919142
estructural estructural AQ0CS00 1
en en SP 1
las el DA0FP0 0.988184
coordenadas coordenada NCFP000 0.638706
a a SP 0.998775
que que PR0CN00 0.550139
hace_referencia hacer_referencia VMIP3S0 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
con con SP 1
una uno DI0FS0 0.951973
altura altura NCFS000 1
de de SP 0.999961
60_metros LN_m:60 Zu 1
sobre sobre SP 0.997804
el el DA0MS0 1
nivel nivel NCMS000 1
de de SP 1
el el DA0MS0 1
terreno terreno NCMS000 0.997238
. . Fp 1

Dictamen dictamen NP00000 0.331016
técnico técnico NCMS000 0.821828
. . Fp 1

Con con SP 1
oficio oficio NCMS000 0.986111
IFT/D02/USRT/DGAD/0605/2014 IFT/D02/USRT/DGAD/0605/2014 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
29_de_abril_de_2014 [??:29/4/2014:??.??:??] W 1
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
Antecedente_VIII antecedente_viii NP00000 1
la el DA0FS0 0.98926
entonces entonces RG 0.998203
Dirección_General_Adjunta_de_Desarrollo_de_la_Radiodifusión dirección_general_adjunta_de_desarrollo_de_la_radiodifusión NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
DGADR dgadr NP00000 1
” ” Frc 1
) ) Fpt 1
adscrita adscribir VMP00SF 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Sistemas_de_Radio unidad_de_sistemas_de_radio NP00000 1
y y CC 0.999989
Televisión televisión NP00000 1
, , Fc 1
emitió emitir VMIS3S0 1
dictamen dictamen NCMS000 1
señalando señalar VMG0000 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
Resultado resultado NCMS000 0.923739
de de SP 1
el el DA0MS0 1
análisis análisis NCMN000 1
Técnicamente_Factible técnicamente_factible NP00000 1
* * Fz 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
Después_de después_de NP00000 1
realizados realizar VMP00PM 1
los el DA0MP0 0.992728
estudios estudio NCMP000 1
y y CC 0.999989
análisis análisis NCMN000 1
técnicos técnico AQ0MP00 0.287234
correspondientes correspondiente AQ0CP00 0.980769
de de SP 0.999961
conformidad conformidad NCFS000 1
con con SP 1
los el DA0MP0 0.992728
ordenamientos ordenamiento NCMP000 1
jurídicos jurídico AQ0MP00 1
abajo abajo RG 0.986111
señalados señalar VMP00PM 1
, , Fc 1
no no RN 0.999297
se se P00CN00 0.494509
identificaron identificar VMIS3P0 1
interferencias interferencia NCFP000 1
perjudiciales perjudicial AQ0CP00 1
a a SP 0.998775
ninguna ninguno DI0FS0 0.829392
estación estación NCFS000 1
de de SP 0.999961
radiodifusión radiodifusión NCFS000 1
provocadas provocar VMP00PF 1
por por SP 1
la el DA0FS0 0.98926
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
con con SP 1
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
solicitados solicitar VMP00PM 1
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
Observaciones observaciones NP00000 1
específicas específico AQ0FP00 1
La la NP00000 1
documentación documentación NCFS000 1
técnica técnico AQ0FS00 0.294798
que que PR0CN00 0.550139
anexa anexar VMIP3S0 0.188737
el el DA0MS0 1
interesado interesar VMP00SM 0.97619
, , Fc 1
consistente consistente AQ0CS00 1
en en SP 1
Estudio_de_Predicción_de_Áreas_de_Servicio estudio_de_predicción_de_áreas_de_servicio NP00000 1
( ( Fpa 1
AS-FM as-fm NP00000 0.47288
) ) Fpt 1
, , Fc 1
cuenta contar VMIP3S0 0.768585
con con SP 1
los el DA0MP0 0.992728
elementos elemento NCMP000 1
necesarios necesario AQ0MP00 1
para para SP 0.999834
su su DP3CSN 1
registro registro NCMS000 0.992958
a a SP 1
el el DA0MS0 1
momento momento NCMS000 1
de de SP 0.999961
emitir emitir VMN0000 1
la el DA0FS0 0.98926
resolución resolución NCFS000 1
correspondiente correspondiente AQ0CS00 0.993421
. . Fp 1

( ( Fpa 1
… … Fz 1
) ) Fpt 1
” ” Frc 1
Aunado aunar VMP00SM 1
a a SP 0.998775
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
la el DA0FS0 0.98926
DGADR dgadr NP00000 1
señaló señalar VMIS3S0 1
en en SP 1
su su DP3CSN 1
dictamen dictamen NCMS000 1
que que CS 0.449861
el el DA0MS0 1
impacto impacto NCMS000 0.992958
de de SP 0.999961
la el DA0FS0 0.98926
operación operación NCFS000 1
de de SP 0.999961
la el DA0FS0 0.98926
estación estación NCFS000 1
XHLIA-FM xhlia-fm NP00000 1
con con SP 1
las el DA0FP0 0.988184
características característica NCFP000 0.994792
técnicas técnico AQ0FP00 0.300493
solicitadas solicitar VMP00PF 1
representa representar VMIP3S0 0.996183
el el DA0MS0 1
118.3_% 118.3/100 Zp 1
de de SP 0.999961
la el DA0FS0 0.98926
cobertura cobertura NCFS000 1
poblacional poblacional AQ0CS00 1
autorizada autorizar VMP00SF 1
para para SP 0.999834
la el DA0FS0 0.98926
estación estación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
cual cual PR0CS00 0.930743
brindará brindar VMIF3S0 1
servicio servicio NCMS000 1
adicional adicional AQ0CS00 1
a a SP 0.998775
los el DA0MP0 0.992728
municipios municipio NCMP000 1
de de SP 0.999961
Pátzcuaro pátzcuaro NP00000 1
y y CC 0.999989
Zinapécuaro zinapécuaro NP00000 1
ambos ambos PI0MP00 0.473739
en en SP 1
el el DA0MS0 1
estado estado NCMS000 0.647596
de de SP 0.999961
Michoacán michoacán NP00000 1
, , Fc 1
dando dar VMG0000 1
como como CS 0.967153
resultado resultado NCMS000 0.924877
un uno DI0MS0 0.99698
incremento incremento NCMS000 0.998084
de de SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
habitantes habitante NCCP000 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
contorno contorno NCMS000 0.989726
de de SP 0.999961
servicio servicio NCMS000 1
audible audible AQ0CS00 1
de de SP 0.999961
74 74 Z 1
dBu d_bu NCFS000 1
de de SP 0.999961
70,892 70.892 Z 1
( ( Fpa 1
equivalente equivalente NCMS000 0.569444
a a SP 1
el el DA0MS0 1
8.92_% 8.92/100 Zp 1
de de SP 0.999961
su su DP3CSN 1
cobertura cobertura NCFS000 1
autorizada autorizar VMP00SF 1
) ) Fpt 1
. . Fp 1

En en SP 1
este este DD0MS0 0.949201
sentido sentido NCMS000 0.940835
, , Fc 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
como como CS 0.967153
resultado resultado NCMS000 0.924877
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
solicitadas solicitar VMP00PF 1
por por SP 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
se se P00CN00 0.494509
advierte advertir VMIP3S0 0.991071
un uno DI0MS0 0.99698
incremento incremento NCMS000 0.998084
en en SP 1
la el DA0FS0 0.98926
cobertura cobertura NCFS000 1
poblacional poblacional AQ0CS00 1
de de SP 0.999961
70,892 70.892 Z 1
habitantes habitante NCCP000 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
contorno contorno NCMS000 0.989726
de de SP 0.999961
servicio servicio NCMS000 1
audible audible AQ0CS00 1
de de SP 0.999961
74 74 Z 1
dBu d_bu NCFS000 1
y y CC 0.999989
que que CS 0.449861
con con SP 1
ello ello PD00S00 1
se se P00CN00 0.494509
modifica modificar VMIP3S0 0.973451
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
los el DA0MP0 0.992728
factores factor NCMP000 1
que que PR0CN00 0.550139
fueron ser VSIS3P0 0.933213
considerados considerar VMP00PM 1
y y CC 0.999989
sirvieron servir VMIS3P0 1
de de SP 0.999961
base base NCCS000 0.963722
para para SP 0.999834
calcular calcular VMN0000 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
que que PR0CN00 0.550139
realizó realizar VMIS3S0 1
por por SP 1
el el DA0MS0 1
cambio cambio NCMS000 0.998705
de de SP 0.999961
frecuencia frecuencia NCFS000 1
de de SP 0.999961
AM am NP00000 1
a a SP 0.998775
FM fm NP00000 1
; ; Fx 1
es ser VSIP3S0 1
preciso preciso AQ0MS00 0.992424
realizar realizar VMN0000 1
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
complementaría complementar VMIC3S0 0.65
que que CS 0.449861
deberá deber VMIF3S0 1
pagar pagar VMN0000 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
en en SP 1
términos término NCMP000 1
de de SP 1
el el DA0MS0 1
marco marco NCMS000 0.996894
legal legal AQ0CS00 1
aplicable aplicable AQ0CS00 1
. . Fp 1

Cuarto cuarto NCMS000 0.343537
. . Fp 1

Contraprestación contraprestación NCFS000 0.668984
complementaria complementario AQ0FS00 1
. . Fp 1

En_razón_de en_razón_de SP 1
lo el DA00S0 0.665165
señalado señalar VMP00SM 1
en en SP 1
el el DA0MS0 1
párrafo párrafo NCMS000 1
que que PR0CN00 0.550139
antecede anteceder VMIP3S0 0.978533
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
, , Fc 1
con con SP 1
fundamento fundamento NCMS000 0.97619
en en SP 1
lo el DA00S0 0.665165
dispuesto disponer VMP00SM 1
en en SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
99 99 Z 1
y y CC 0.999989
100 100 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
en en SP 1
relación relación NCFS000 1
con con SP 1
el el DA0MS0 1
29 29 Z 1
, , Fc 1
fracción fracción NCFS000 1
VII_de_el_Estatuto_Orgánico_de_el_Instituto vii_de_el_estatuto_orgánico_de_el_instituto NP00000 1
, , Fc 1
realizó realizar VMIS3S0 1
el el DA0MS0 1
cálculo cálculo NCMS000 1
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
conforme_a conforme_a SP 1
la el DA0FS0 0.98926
metodología metodología NCFS000 1
señalada señalar VMP00SF 1
en en SP 1
el el DA0MS0 1
oficio oficio NCMS000 0.986111
349-B-278 349-B-278 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
17_de_julio_de_2015 [??:17/7/2015:??.??:??] W 1
, , Fc 1
emitido emitir VMP00SM 1
por por SP 1
la el DA0FS0 0.98926
Unidad_de_Política_de_Ingresos_No_Tributarios_de_la_SHCP unidad_de_política_de_ingresos_no_tributarios_de_la_shcp NP00000 1
, , Fc 1
misma mismo PI0FS00 0.18316
que que PR0CN00 0.550139
a a SP 0.998775
continuación continuación NCFS000 1
se se P00CN00 0.494509
describe describir VMIP3S0 0.989241
: : Fd 1
Fórmula fórmula NCFS000 0.668984
: : Fd 1
CP cp NP00000 0.47288
= = Fz 1
( ( Fpa 1
VR vr NP00000 0.47288
) ) Fpt 1
X x NP00000 1
( ( Fpa 1
Población_Servida población_servida NP00000 1
) ) Fpt 1
x x NCFS000 1
( ( Fpa 1
FT+FE ft+fe NP00000 1
) ) Fpt 1
Donde donde NP00000 1
: : Fd 1
CP cp NP00000 0.47288
= = Fz 1
Contraprestación_VR contraprestación_vr NP00000 1
= = Fz 1
Valor valor NP00000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
en en SP 1
pesos peso NCMP000 1
por por SP 1
habitante habitante NCCS000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
considerando considerar VMG0000 0.813333
que que CS 0.449861
en en SP 1
el el DA0MS0 1
2005 2005 Z 1
se se P00CN00 0.494509
estableció establecer VMIS3S0 1
un uno DI0MS0 0.99698
valor valor NCMS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
para para SP 0.999834
estaciones estación NCFP000 0.992424
de de SP 0.999961
FM fm NP00000 1
de de SP 0.999961
$0.50 $0.50 Z 1
por por SP 1
habitante habitante NCCS000 1
. . Fp 1

En en SP 1
el el DA0MS0 1
caso caso NCMS000 0.999445
de de SP 0.999961
AM am NP00000 1
, , Fc 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
se se P00CN00 0.494509
ajusta ajustar VMIP3S0 0.989241
a a SP 1
el el DA0MS0 1
35_% 35/100 Zp 1
de de SP 0.999961
dicho decir VMP00SM 0.997159
monto monto NCMS000 0.939852
. . Fp 1

En en SP 1
relación relación NCFS000 1
con con SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
se se P00CN00 0.494509
aplicó aplicar VMIS3S0 1
un uno DI0MS0 0.99698
factor factor NCMS000 1
de de SP 0.999961
actualización actualización NCFS000 1
a a SP 0.998775
dicho decir VMP00SM 0.997159
valor valor NCMS000 1
, , Fc 1
el el DA0MS0 1
cual cual PR0CS00 0.930743
utiliza utilizar VMIP3S0 0.847222
como como CS 0.967153
referencia referencia NCFS000 0.989637
el el DA0MS0 1
Índice_Nacional_de_Precios índice_nacional_de_precios NP00000 1
a a SP 1
el el DA0MS0 1
Consumidor consumidor NP00000 1
, , Fc 1
en en SP 1
específico específico NCMS000 0.338706
el el DA0MS0 1
de de SP 0.999961
diciembre_de_2005 [??:??/12/2005:??.??:??] W 1
y y CC 0.999989
enero_de_2016 [??:??/1/2016:??.??:??] W 1
; ; Fx 1
el el DA0MS0 1
valor valor NCMS000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
obtenido obtener VMP00SM 1
mediante mediante SP 0.99763
esta este DD0FS0 0.978817
actualización actualización NCFS000 1
es ser VSIP3S0 1
de de SP 0.999961
$0.7417 $0.7417 Z 1
por por SP 1
habitante habitante NCCS000 1
para para SP 0.999834
FM fm NP00000 1
. . Fp 1

El el DA0MS0 1
ancho ancho NCMS000 0.563706
de de SP 0.999961
banda banda NCFS000 1
que que PR0CN00 0.550139
utiliza utilizar VMIP3S0 0.847222
una uno DI0FS0 0.951973
estación estación NCFS000 1
de de SP 0.999961
FM fm NP00000 1
es ser VSIP3S0 1
de de SP 0.999961
240 240 Z 1
kHz khz NCFS000 0.515128
y y CC 0.999989
para para SP 0.999834
una uno DI0FS0 0.951973
de de SP 0.999961
AM am NP00000 1
es ser VSIP3S0 1
de de SP 0.999961
10 10 Z 1
kHz khz NCFS000 0.515128
. . Fp 1

Población_Servida población_servida NP00000 1
: : Fd 1
Habitantes habitante NCCP000 0.668984
cubiertos cubrir VMP00PM 0.738095
por por SP 1
la el DA0FS0 0.98926
estación estación NCFS000 1
concesionada concesionada VMP00SF 1
con con SP 1
calidad calidad NCFS000 1
auditiva auditivo AQ0FS00 1
. . Fp 1

FT ft NP00000 0.47288
( ( Fpa 1
Factor_Técnico factor_técnico NP00000 1
) ) Fpt 1
: : Fd 1
Factor factor NCMS000 0.668984
dimensional dimensional AQ0CS00 1
con con SP 1
valores valor NCMP000 0.99763
ponderados ponderar VMP00PM 1
entre entre SP 0.980341
0.53 0.53 Z 1
y y CC 0.999989
2.04 2.04 Z 1
. . Fp 1

Depende depender VMIP3S0 0.995283
de de SP 0.999961
la el DA0FS0 0.98926
Clase_de_Estación clase_de_estación NP00000 1
conforme_a conforme_a SP 1
las el DA0FP0 0.988184
disposiciones disposición NCFP000 1
y y CC 0.999989
normas norma NCFP000 1
técnicas técnico AQ0FP00 0.300493
: : Fd 1
IFT-001-2015 IFT-001-2015 Z 1
( ( Fpa 1
Estaciones_de_Radio estaciones_de_radio NP00000 1
en en SP 1
AM am NP00000 1
) ) Fpt 1
, , Fc 1
y y CC 0.999989
IFT-002-2016 IFT-002-2016 Z 1
( ( Fpa 1
Estaciones_de_Radio estaciones_de_radio NP00000 1
en en SP 1
FM fm NP00000 1
) ) Fpt 1
FE fe NP00000 1
( ( Fpa 1
Factor_Económico factor_económico NP00000 1
) ) Fpt 1
: : Fd 1
Factor factor NCMS000 0.668984
adimensional adimensional AQ0CS00 1
con con SP 1
valores valor NCMP000 0.99763
ponderados ponderar VMP00PM 1
entre entre SP 0.980341
1.0 1.0 Z 1
y y CC 0.999989
2.0 2.0 Z 1
. . Fp 1

Depende depender VMIP3S0 0.995283
de de SP 1
el el DA0MS0 1
valor valor NCMS000 1
per_cápita per_cápita AQ0CN00 1
de de SP 0.999961
la el DA0FS0 0.98926
producción producción NCFS000 1
bruta bruto AQ0FS00 0.361385
, , Fc 1
conforme_a conforme_a SP 1
el el DA0MS0 1
INEGI inegi NP00000 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
es ser VSIP3S0 1
relevante relevante AQ0CS00 1
señalar señalar VMN0000 1
que que CS 0.449861
en en SP 1
dicho decir VMP00SM 0.997159
cálculo cálculo NCMS000 1
debe deber VMIP3S0 0.998712
considerar considerar VMN0000 1
se se PP3CN00 1
también también RG 1
el el DA0MS0 1
periodo periodo NCMS000 1
de de SP 0.999961
vigencia vigencia NCFS000 1
restante restante AQ0CS00 0.561294
de de SP 0.999961
la el DA0FS0 0.98926
Concesión concesión NP00000 1
. . Fp 1

Por por SP 1
lo el DA00S0 0.665165
anterior anterior AQ0CS00 1
, , Fc 1
aplicando aplicar VMG0000 1
la el DA0FS0 0.98926
formula formular VMIP3S0 0.869312
mencionada mencionar VMP00SF 1
con con SP 1
el el DA0MS0 1
incremento incremento NCMS000 0.998084
de de SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
habitantes habitante NCCP000 1
contenidos contener VMP00PM 0.256098
en en SP 1
el el DA0MS0 1
contorno contorno NCMS000 0.989726
de de SP 0.999961
servicio servicio NCMS000 1
audible audible AQ0CS00 1
de de SP 0.999961
74 74 Z 1
dBu d_bu NCFS000 1
con con SP 1
los el DA0MP0 0.992728
parámetros parámetro NCMP000 1
técnicos técnico AQ0MP00 0.287234
solicitados solicitar VMP00PM 1
, , Fc 1
se se P00CN00 0.494509
obtiene obtener VMIP3S0 1
como como CS 0.967153
resultado resultado NCMS000 0.924877
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
Concesionario_Factor concesionario_factor NP00000 1
técnico técnico NCMS000 0.821828
Factor factor NP00000 1
económico económico AQ0MS00 1
Valor valor NP00000 1
de de SP 0.999961
referencia referencia NCFS000 0.989637
de de SP 0.999961
la el DA0FS0 0.98926
población población NCFS000 1
servida servir VMP00SF 1
Monto monto NP00000 1
de de SP 1
el el DA0MS0 1
aprovechamiento aprovechamiento NCMS000 1
( ( Fpa 1
pesos peso NCMP000 1
) ) Fpt 1
Periodo periodo NP00000 1
restante restante AQ0CS00 0.561294
de de SP 0.999961
la el DA0FS0 0.98926
Concesión_Carlos_de_Jesús_Quiñonez_Armendáriz concesión_carlos_de_jesús_quiñonez_armendáriz NP00000 1
1.6 1.6 Z 1
1.8 1.8 Z 1
$52 $52 Z 1
, , Fc 1
587 587 Z 1
$84,848 $84,848 Z 1
4 4 Z 1
años año NCMP000 1
1 1 Z 1
mes mes NCMS000 1
Ahora_bien ahora_bien NP00000 1
, , Fc 1
considerando considerar VMG0000 0.813333
lo el DA00S0 0.665165
establecido establecer VMP00SM 1
en en SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
28 28 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
en en SP 1
relación relación NCFS000 1
con con SP 1
los el DA0MP0 0.992728
artículos artículo NCMP000 1
99 99 Z 1
y y CC 0.999989
100 100 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley ley NP00000 1
, , Fc 1
la el DA0FS0 0.98926
Unidad_de_Espectro_Radioeléctrico unidad_de_espectro_radioeléctrico NP00000 1
solicitó solicitar VMIS3S0 1
a a SP 0.998775
la el DA0FS0 0.98926
Unidad_de_Política_de_Ingresos_No_Tributarios_de_la_Secretaría_de_Hacienda unidad_de_política_de_ingresos_no_tributarios_de_la_secretaría_de_hacienda NP00000 1
y y CC 0.999989
Crédito_Público crédito_público NP00000 1
( ( Fpa 1
la el DA0FS0 0.98926
“ “ Fra 1
SHCP shcp NP00000 1
” ” Frc 1
) ) Fpt 1
, , Fc 1
opinión opinión NCFS000 1
respecto_a respecto_a SP 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
complementaria complementario AQ0FS00 1
que que PR0CN00 0.550139
calculó calcular VMIS3S0 1
tomando tomar VMG0000 1
en en SP 1
cuenta contar VMIP3S0 0.768585
el el DA0MS0 1
incremento incremento NCMS000 0.998084
en en SP 1
el el DA0MS0 1
número número NCMS000 1
de de SP 0.999961
habitantes habitante NCCP000 1
como como CS 0.967153
consecuencia consecuencia NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
solicitadas solicitar VMP00PF 1
. . Fp 1

En en SP 1
ese ese DD0MS0 0.966694
sentido sentido NCMS000 0.940835
, , Fc 1
con con SP 1
oficio oficio NCMS000 0.986111
número número NCMS000 1
349-B-141 349-B-141 Z 1
de de SP 0.999961
fecha fecha NCFS000 0.990741
31_de_marzo_de_2016 [??:31/3/2016:??.??:??] W 1
la el DA0FS0 0.98926
Unidad_de_Política_de_Ingresos_No_Tributarios_de_la_SHCP unidad_de_política_de_ingresos_no_tributarios_de_la_shcp NP00000 1
consideró considerar VMIS3S0 1
procedente procedente AQ0CS00 1
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
la el DA0FS0 0.98926
contraprestación contraprestación NCFS000 1
que que PR0CN00 0.550139
deberá deber VMIF3S0 1
pagar pagar VMN0000 1
el el DA0MS0 1
Concesionario concesionario NP00000 1
por por SP 1
el el DA0MS0 1
incremento incremento NCMS000 0.998084
de de SP 0.999961
la el DA0FS0 0.98926
cobertura cobertura NCFS000 1
poblacional poblacional AQ0CS00 1
a a SP 0.998775
servir servir VMN0000 1
derivado derivar VMP00SM 0.623747
de de SP 0.999961
las el DA0FP0 0.988184
modificaciones modificación NCFP000 1
técnicas técnico AQ0FP00 0.300493
solicitadas solicitar VMP00PF 1
, , Fc 1
indicando indicar VMG0000 1
lo el DA00S0 0.665165
siguiente siguiente AQ0CS00 1
: : Fd 1
“ “ Fra 1
( ( Fpa 1
… … Fz 1
) ) Fpt 1
Que que NP00000 1
el el DA0MS0 1
11_de_junio_de_2013 [??:11/6/2013:??.??:??] W 1
, , Fc 1
se se P00CN00 0.494509
publicó publicar VMIS3S0 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
, , Fc 1
el el DA0MS0 1
Decreto decreto NP00000 1
por por SP 1
el el DA0MS0 1
que que PR0CN00 0.550139
se se P00CN00 0.494509
reforman reformar VMIP3P0 1
y y CC 0.999989
adicionan adicionar VMIP3P0 1
diversas diverso DI0FP0 0.805344
disposiciones disposición NCFP000 1
de de SP 0.999961
los el DA0MP0 0.992728
artículos artículo NCMP000 1
6º 6º Z 1
. . Fp 1
, , Fc 1
7o 7o Z 1
, , Fc 1
27 27 Z 1
, , Fc 1
28 28 Z 1
, , Fc 1
73 73 Z 1
, , Fc 1
78 78 Z 1
, , Fc 1
94 94 Z 1
y y CC 0.999989
105 105 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Constitución_Política_de_los_Estados_Unidos_Mexicanos constitución_política_de_los_estados_unidos_mexicanos NP00000 1
, , Fc 1
en_materia_de en_materia_de SP 1
telecomunicaciones telecomunicación NCFP000 1
que que PR0CN00 0.550139
, , Fc 1
entre entre SP 0.980341
otras otro DI0FP0 0.865408
disposiciones disposición NCFP000 1
, , Fc 1
señala señalar VMIP3S0 0.997076
que que CS 0.449861
el el DA0MS0 1
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
( ( Fpa 1
IFT ift NP00000 1
) ) Fpt 1
fijara fijar VMSI3S0 0.500013
el el DA0MS0 1
monto monto NCMS000 0.939852
de de SP 0.999961
las el DA0FP0 0.988184
contraprestaciones contraprestación NCFP000 1
para para SP 0.999834
el el DA0MS0 1
otorgamiento otorgamiento NCMS000 1
de de SP 0.999961
las el DA0FP0 0.988184
